"Player","Pos","Team                     Signed With","Age                     At Signing","Start                     Year","End                     Year","Yrs","Value","Average                     Salary","Average %                     % of Cap At Sign","Signing Bonus","Guarantee                     at Sign","Practical                     Guarantee","2-Year                     Cash Total","3-Year                     Cash Total"
"Patrick Mahomes","QB","KC                  KC","24","2020","2031","10","$450,000,000","$45,000,000","22.70%","$10,000,000","$63,081,905","$141,481,905","$33,733,541","$63,183,541"
"Deshaun Watson","QB","HOU                  HOU","24","2020","2025","4","$156,000,000","$39,000,000","19.68%","$27,000,000","$73,717,123","$110,717,123","$39,957,363","$74,957,363"
"Joey Bosa","OLB","LAC                  LAC","24","2020","2025","5","$135,000,000","$27,000,000","13.62%","$35,000,000","$78,000,000","$102,000,000","$56,770,731","$78,020,731"
"Myles Garrett","DE","CLE                  CLE","24","2020","2026","5","$125,000,000","$25,000,000","12.61%","$21,000,000","$43,546,125","$100,000,000","$43,598,442","$62,598,442"
"Ryan Tannehill","QB","TEN                  TEN","31","2020","2023","4","$118,000,000","$29,500,000","14.88%","$20,000,000","$62,000,000","$91,000,000","$62,000,000","$91,000,000"
"Jalen Ramsey","CB","LAR                  LAR","25","2020","2026","5","$100,000,000","$20,000,000","10.09%","$25,000,000","$43,700,000","$71,200,000","$43,790,079","$58,790,079"
"Amari Cooper","WR","DAL                  DAL","25","2020","2024","5","$100,000,000","$20,000,000","10.09%","$10,000,000","$40,000,000","$60,000,000","$40,038,777","$60,038,777"
"Ronnie Stanley","LT","BAL                  BAL","25","2020","2025","5","$98,750,000","$19,750,000","9.96%","$22,500,000","$64,166,000","$64,166,000","$54,629,358","$64,129,358"
"Marlon Humphrey","CB","BAL                  BAL","23","2020","2026","5","$97,500,000","$19,500,000","9.84%","$20,000,000","$40,324,566","$67,324,566","$40,397,145","$50,647,145"
"David Bakhtiari","LT","GB                  GB","28","2020","2024","4","$92,000,000","$23,000,000","11.60%","$30,000,000","$61,500,000","$61,500,000","$50,227,340","$69,067,403"
"Arik Armstead","ED","SF                  SF","26","2020","2024","5","$85,000,000","$17,000,000","8.58%","$3,500,000","$26,650,000","$40,000,000","$35,000,000","$49,602,936"
"DeForest Buckner","DL","IND                  IND","25","2020","2024","4","$84,000,000","$21,000,000","10.60%","","$39,378,000","$44,378,000","$40,401,981","$56,401,981"
"Byron Jones","CB","MIA                  MIA","27","2020","2024","5","$82,500,000","$16,500,000","8.32%","$10,500,000","$40,000,000","$54,375,000","$40,032,092","$54,407,092"
"Keenan Allen","WR","LAC                  LAC","27","2020","2024","4","$80,100,000","$20,025,000","10.10%","$13,500,000","$26,500,000","$43,000,000","$32,297,527","$48,797,527"
"Chris Jones","DT","KC                  KC","25","2020","2023","4","$80,000,000","$20,000,000","10.09%","","$37,626,000","$60,000,000","$37,651,062","$61,275,062"
"Alvin Kamara","RB","NO                  NO","24","2020","2025","5","$75,000,000","$15,000,000","7.57%","$15,000,000","$22,833,000","$33,833,000","$17,833,000","$29,333,000"
"George Kittle","TE","SF                  SF","26","2020","2025","5","$75,000,000","$15,000,000","7.57%","$18,000,000","$30,000,000","$40,000,000","$23,783,000","$34,322,040"
"Robert Quinn","DE","CHI                  CHI","29","2020","2022","5","$70,000,000","$14,000,000","7.06%","$3,000,000","$30,000,000","$30,000,000","$30,153,868","$30,838,312"
"Kenny Clark","DL","GB                  GB","24","2020","2024","4","$70,000,000","$17,500,000","8.83%","$25,000,000","$27,690,000","$34,090,000","$28,816,073","$44,716,073"
"Tre'Davious White","CB","BUF                  BUF","24","2020","2025","4","$69,000,000","$17,250,000","8.70%","$10,500,000","$36,700,000","$55,250,000","$36,917,495","$47,255,725"
"Garett Bolles","LT","DEN                  DEN","27","2020","2024","4","$68,000,000","$17,000,000","8.58%","$20,000,000","$21,000,000","$38,000,000","$23,041,255","$40,041,255"
