season,player_key,player,team,pos,adv_targets,adv_receptions,adv_yards,adv_rec_touchdowns,adv_catch_percentage,adv_avg_cushion,adv_avg_separation,adv_avg_intended_air_yards,adv_avg_yac,adv_avg_expected_yac,adv_avg_yac_above_expectation,adv_percent_share_of_intended_air_yards,adv_yards_per_target,adv_yards_per_reception,adv_td_per_target
2016,a j green,A.J. Green,CIN,WR,100,66,964,4,66,4.7908602150537645,2.4563685374445274,13.404200000000001,3.9540909090909095,4.78940398069774,-0.8353130716068304,27.831774342576548,9.64,14.606060606060606,0.04
2016,adam humphries,Adam Humphries,TB,WR,83,55,622,2,66.26506024096386,6.508181818181818,3.4168422148766115,5.731686746987951,7.180363636363635,6.426137826286846,0.7542258100767896,7.788076824852172,7.493975903614458,11.309090909090909,0.024096385542168676
2016,adam thielen,Adam Thielen,MIN,WR,92,69,967,5,75,5.294,2.753091457498803,10.974891304347825,4.365652173913045,5.12320333873206,-0.7575511648190156,24.705643424813058,10.51086956521739,14.014492753623188,0.05434782608695652
2016,albert wilson,Albert Wilson,KC,WR,51,31,279,2,60.78431372549019,7.21409090909091,3.505559892066392,7.72607843137255,5.222580645161289,5.1966671712968076,0.025913473864481062,10.077880225584105,5.470588235294118,9,0.0392156862745098
2016,allen hurns,Allen Hurns,JAX,WR,76,35,477,3,46.05263157894737,6.539999999999999,2.5354071227099957,10.768552631578947,5.987714285714287,6.157138161146571,-0.1694238754322841,14.977015028072408,6.276315789473684,13.628571428571428,0.039473684210526314
2016,allen robinson,Allen Robinson,JAX,WR,151,73,883,6,48.34437086092716,4.586733333333333,1.9491133659249662,14.099470198675496,2.7521917808219176,3.877823378942323,-1.1256315981204055,38.96135743095358,5.847682119205298,12.095890410958905,0.039735099337748346
2016,alshon jeffery,Alshon Jeffery,CHI,WR,94,52,821,2,55.319148936170215,4.922043010752688,2.239448115425741,14.134787234042552,3.7323076923076925,3.5100808212398675,0.22222687106782502,25.16101176555247,8.73404255319149,15.788461538461538,0.02127659574468085
2016,amari cooper,Amari Cooper,LV,WR,132,83,1153,5,62.878787878787875,4.60696,2.617496611570895,10.14189393939394,5.538915662650603,5.403050051755384,0.13586561089521876,26.998852468604227,8.734848484848484,13.891566265060241,0.03787878787878788
2016,andrew hawkins,Andrew Hawkins,CLE,WR,54,33,324,3,61.111111111111114,5.10673469387755,3.0487992565943474,8.578333333333333,3.911818181818182,3.618938986099491,0.29287919571869114,9.037170565547433,6,9.818181818181818,0.05555555555555555
2016,anquan boldin,Anquan Boldin,DET,WR,95,67,584,8,70.52631578947368,5.176516853932584,2.409151276216126,6.720842105263158,3.130298507462687,3.469019497260713,-0.3387209897980261,13.521389241846677,6.147368421052631,8.716417910447761,0.08421052631578947
2016,antonio brown,Antonio Brown,PIT,WR,154,106,1284,12,68.83116883116884,5.040544217687075,2.9169696345910348,11.055714285714286,3.829056603773585,4.552554466813914,-0.7234978630403295,30.444531864673486,8.337662337662337,12.11320754716981,0.07792207792207792
2016,brandin cooks,Brandin Cooks,NO,WR,117,78,1173,8,66.66666666666666,7.149210526315788,2.8473033548769573,13.449059829059827,4.596923076923077,4.10761506025108,0.4893080166719974,30.874066051359332,10.025641025641026,15.038461538461538,0.06837606837606838
2016,brandon lafell,Brandon LaFell,CIN,WR,107,64,862,6,59.813084112149525,5.731634615384616,2.739646945454968,10.949252336448598,5.1784375,4.94749617431325,0.23094132568675008,24.325861943668702,8.05607476635514,13.46875,0.056074766355140186
2016,brandon marshall,Brandon Marshall,NYJ,WR,128,59,788,3,46.09375,4.439596774193548,2.21587312661331,13.628046875,2.9649152542372885,4.734115501076712,-1.7692002468394232,33.23350270247615,6.15625,13.35593220338983,0.0234375
2016,breshad perriman,Breshad Perriman,BAL,WR,66,33,499,3,50,5.747812499999999,2.4194923691791534,14.853787878787879,5.206666666666667,4.576497889828196,0.6301687768384712,18.67084388748167,7.5606060606060606,15.121212121212121,0.045454545454545456
2016,brian quick,Brian Quick,LA,WR,77,41,564,3,53.246753246753244,6.5464864864864865,2.1667962782834436,12.272597402597402,4.0407317073170725,2.8924003875388005,1.148331319778272,22.14076521168669,7.324675324675325,13.75609756097561,0.03896103896103896
2016,cameron meredith,Cameron Meredith,CHI,WR,97,66,888,4,68.04123711340206,5.703894736842104,2.4009852270561303,10.425463917525773,4.340606060606061,3.6584089100349226,0.6821971505711382,19.15041083801866,9.154639175257731,13.454545454545455,0.041237113402061855
2016,chris conley,Chris Conley,KC,WR,69,44,530,0,63.76811594202898,7.053676470588236,2.905711445551097,10.583478260869564,3.0490909090909084,4.017353781923293,-0.9682628728323848,18.677442868652246,7.681159420289855,12.045454545454545,0
2016,chris hogan,Chris Hogan,NE,WR,58,38,680,4,65.51724137931035,5.195178571428571,3.1679604473470047,13.671206896551723,6.675263157894738,5.906720445591999,0.7685427123027395,17.778859003219758,11.724137931034482,17.894736842105264,0.06896551724137931
2016,cole beasley,Cole Beasley,DAL,WR,98,75,833,5,76.53061224489795,6.70641304347826,3.4045226093913414,6.840102040816326,4.960799999999999,5.173482953247786,-0.2126829532477874,15.97115171557707,8.5,11.106666666666667,0.05102040816326531
2016,corey brown,Corey Brown,CAR,WR,53,27,271,1,50.943396226415096,6.243829787234042,3.172532643566693,10.083396226415093,4.285555555555555,5.136149336896962,-0.8505937813414075,8.795444446273102,5.113207547169812,10.037037037037036,0.018867924528301886
2016,corey coleman,Corey Coleman,CLE,WR,73,33,413,3,45.20547945205479,5.606901408450705,2.752814529785125,15.20109589041096,2.775151515151515,3.178423348702121,-0.40327183355060603,21.64878663553025,5.657534246575342,12.515151515151516,0.0410958904109589
2016,davante adams,Davante Adams,GB,WR,121,75,997,12,61.98347107438017,4.64936936936937,2.8902344618586926,12.30917355371901,5.3617333333333335,5.291671807148895,0.07006152618443817,26.02930767819226,8.239669421487603,13.293333333333333,0.09917355371900827
2016,deandre hopkins,DeAndre Hopkins,HOU,WR,151,78,954,4,51.65562913907284,4.325436241610738,2.25623885292923,12.691258278145696,2.993205128205128,2.7228349277302706,0.2703702004748574,35.16506504063548,6.317880794701987,12.23076923076923,0.026490066225165563
2016,demaryius thomas,Demaryius Thomas,DEN,WR,144,90,1083,5,62.5,4.674265734265734,2.052955232574223,11.125416666666666,3.420000000000001,3.5058160461553496,-0.08581604615534877,29.559720577001848,7.520833333333333,12.033333333333333,0.034722222222222224
2016,desean jackson,DeSean Jackson,WAS,WR,100,56,1005,4,56.00000000000001,7.295833333333334,2.8862852196325024,16.035399999999996,4.867142857142858,5.051773002105554,-0.18463014496269547,28.085914306381916,10.05,17.946428571428573,0.04
2016,devante parker,DeVante Parker,MIA,WR,87,56,744,4,64.36781609195403,4.933139534883721,2.2975543609307754,12.513908045977011,4.301964285714285,4.417146072781715,-0.11518178706742965,27.762095283266653,8.551724137931034,13.285714285714286,0.04597701149425287
2016,devin funchess,Devin Funchess,CAR,WR,58,23,371,4,39.6551724137931,6.2188888888888885,2.0438195354467976,14.91310344827586,4.440869565217391,3.7156218601263045,0.7252477050910868,14.235447079541153,6.396551724137931,16.130434782608695,0.06896551724137931
2016,dez bryant,Dez Bryant,DAL,WR,96,50,796,8,52.083333333333336,5.243936170212765,1.823326953163286,15.482708333333335,2.6567999999999996,3.50139038069464,-0.8445903806946404,35.41324667093943,8.291666666666666,15.92,0.08333333333333333
2016,donte moncrief,Donte Moncrief,IND,WR,56,30,307,7,53.57142857142857,5.665714285714286,2.3553823686399866,11.061428571428573,2.5413333333333332,2.6691432801091333,-0.12780994677580004,11.848100103668965,5.482142857142857,10.233333333333333,0.125
2016,dontrelle inman,Dontrelle Inman,LAC,WR,97,58,810,4,59.79381443298969,6.201666666666666,2.8140294668635586,11.41278350515464,3.697241379310345,4.522543615677569,-0.8253022363672242,21.63290271017061,8.350515463917526,13.96551724137931,0.041237113402061855
2016,dorial green beckham,Dorial Green-Beckham,PHI,WR,74,36,392,2,48.64864864864865,6.060675675675677,2.563052271581774,10.718243243243242,3.972777777777779,4.521596847706784,-0.5488190699290048,16.328627131275447,5.297297297297297,10.88888888888889,0.02702702702702703
2016,doug baldwin,Doug Baldwin,SEA,WR,125,94,1128,7,75.2,6.618867924528302,3.0698670212862265,9.402640000000002,4.890212765957448,5.133962746947246,-0.24374998098979805,22.927586724850627,9.024,12,0.056
2016,eddie royal,Eddie Royal,CHI,WR,43,33,369,2,76.74418604651163,6.001538461538462,3.4033791125456756,6.278604651162791,5.806969696969698,4.812983622153232,0.9939860748164655,5.112608816684247,8.581395348837209,11.181818181818182,0.046511627906976744
2016,eli rogers,Eli Rogers,PIT,WR,66,48,594,3,72.72727272727273,5.7282758620689656,2.9852840665543896,9.673636363636362,4.457083333333332,6.358134455460146,-1.9010511221268134,11.416565338673912,9,12.375,0.045454545454545456
2016,emmanuel sanders,Emmanuel Sanders,DEN,WR,137,79,1032,5,57.66423357664233,5.801908396946566,2.6294746835319396,13.349635036496348,3.0115189873417716,3.434979642493257,-0.42346065515148545,33.745161206995164,7.532846715328467,13.063291139240507,0.0364963503649635
2016,golden tate,Golden Tate,DET,WR,135,91,1077,4,67.4074074074074,5.496899224806202,2.7148833127247483,8.379999999999999,6.556593406593406,5.65456280937491,0.9020305972184968,23.958068614993646,7.977777777777778,11.835164835164836,0.02962962962962963
2016,j j nelson,J.J. Nelson,ARI,WR,74,34,568,6,45.94594594594595,5.903783783783784,2.930463344543924,18.28689189189189,4.763529411764705,3.560307056586412,1.2032223551782932,20.381566026255072,7.675675675675675,16.705882352941178,0.08108108108108109
2016,jamison crowder,Jamison Crowder,WAS,WR,99,67,847,7,67.67676767676768,6.732235294117647,3.5934765911806594,8.656161616161617,5.612388059701491,5.668837136562553,-0.05644907686106215,15.00960694712764,8.555555555555555,12.64179104477612,0.0707070707070707
2016,jarvis landry,Jarvis Landry,MIA,WR,131,94,1136,4,71.7557251908397,5.838512396694215,2.8540156097702063,6.477022900763359,6.5420212765957455,4.765788367723645,1.7762329088721005,21.636487427229405,8.67175572519084,12.085106382978724,0.030534351145038167
2016,jeremy kerley,Jeremy Kerley,SF,WR,115,64,667,3,55.65217391304348,6.517843137254903,3.1494108707836843,9.171478260869563,3.1635937500000004,4.814907075876471,-1.6513133258764707,24.796345623517404,5.8,10.421875,0.02608695652173913
2016,jeremy maclin,Jeremy Maclin,KC,WR,76,44,536,2,57.89473684210527,6.089722222222221,2.359351389758836,11.47078947368421,3.0922727272727273,4.092893911358023,-1.0006211840852957,22.297019067227644,7.052631578947368,12.181818181818182,0.02631578947368421
2016,jermaine kearse,Jermaine Kearse,SEA,WR,89,41,510,1,46.06741573033708,5.618837209302327,2.4438431252579336,13.240224719101125,3.2639024390243914,4.155013396244512,-0.8911109572201208,22.987084176213898,5.730337078651686,12.439024390243903,0.011235955056179775
2016,john brown,John Brown,ARI,WR,73,39,517,2,53.42465753424658,5.953538461538462,3.0329399275355704,14.793150684931504,2.543589743589744,2.9881372626622,-0.44454751907245615,16.26482796845536,7.082191780821918,13.256410256410257,0.0273972602739726
2016,jordan matthews,Jordan Matthews,PHI,WR,117,73,804,3,62.39316239316239,5.4466363636363635,2.837310301682817,10.720598290598293,3.228630136986301,4.4930371308333985,-1.2644069938470976,25.822556007098424,6.871794871794871,11.013698630136986,0.02564102564102564
2016,jordy nelson,Jordy Nelson,GB,WR,152,97,1257,14,63.81578947368421,5.76867132867133,2.6681548219983333,13.011644736842106,3.6707216494845354,3.573893585463259,0.0968280640212762,34.56401114985014,8.269736842105264,12.958762886597938,0.09210526315789473
2016,julian edelman,Julian Edelman,NE,WR,159,98,1106,3,61.63522012578616,6.381911764705882,2.688326466364714,9.4888679245283,4.936836734693878,4.691841914336041,0.24499482035783693,33.82833029892644,6.955974842767295,11.285714285714286,0.018867924528301886
2016,julio jones,Julio Jones,ATL,WR,129,83,1409,6,64.34108527131784,4.9568032786885245,2.2447113519127133,14.452790697674418,4.845783132530121,5.186795073706805,-0.3410119411766841,38.77595587501247,10.922480620155039,16.97590361445783,0.046511627906976744
2016,kamar aiken,Kamar Aiken,BAL,WR,50,29,328,1,57.99999999999999,5.196666666666666,3.367591061934661,12.121999999999998,3.534137931034484,4.679515372065828,-1.1453774410313442,11.543222808387451,6.56,11.310344827586206,0.02
2016,kendall wright,Kendall Wright,TEN,WR,43,29,416,3,67.44186046511628,6.113947368421054,2.9236142763626627,10.670930232558138,4.282068965517243,4.2750160008886615,0.007052964628581293,9.41470240635567,9.674418604651162,14.344827586206897,0.06976744186046512
2016,kenny britt,Kenny Britt,LA,WR,111,68,1002,5,61.261261261261254,4.863513513513513,2.3205808458945043,12.706846846846844,4.133823529411764,4.168005551490561,-0.03418202207879695,33.04655467303951,9.027027027027026,14.735294117647058,0.04504504504504504
2016,kenny stills,Kenny Stills,MIA,WR,81,42,726,9,51.85185185185185,6.459189189189189,2.4815387079464912,15.291234567901233,4.216904761904761,3.9911371753431104,0.22576758656165063,31.584033945588118,8.962962962962964,17.285714285714285,0.1111111111111111
2016,larry fitzgerald,Larry Fitzgerald,ARI,WR,150,107,1023,6,71.33333333333334,6.482462686567165,2.361345376740551,7.994866666666669,3.4297196261682235,3.6251963890891172,-0.19547676292089378,18.06210727346118,6.82,9.560747663551401,0.04
2016,malcolm mitchell,Malcolm Mitchell,NE,WR,48,32,401,4,66.66666666666666,5.191521739130435,2.5921711474912685,11.125,5.099687500000002,4.016661789343438,1.083025710656564,11.97320155337716,8.354166666666666,12.53125,0.08333333333333333
2016,marqise lee,Marqise Lee,JAX,WR,105,63,851,3,60,6.254466019417476,2.5639410991592992,11.866952380952378,5.495238095238096,5.377943992085825,0.11729410315227096,22.802519562846324,8.104761904761904,13.507936507936508,0.02857142857142857
2016,marquise goodwin,Marquise Goodwin,BUF,WR,68,29,413,3,42.64705882352941,6.535909090909091,2.8395524838599293,15.823235294117648,2.337241379310345,2.2694511989066894,0.06779018040365559,22.866335707849508,6.073529411764706,14.241379310344827,0.04411764705882353
2016,marvin jones,Marvin Jones,DET,WR,103,55,930,4,53.398058252427184,3.7646601941747573,2.0481856487819665,14.651747572815532,4.29,3.82574507899505,0.46425492100495,31.95955103769589,9.029126213592233,16.90909090909091,0.038834951456310676
2016,michael crabtree,Michael Crabtree,LV,WR,145,89,1003,8,61.37931034482759,5.976,2.2610439900519386,11.564206896551722,2.8544943820224717,2.9213318859195905,-0.06683750389711873,33.81708470556441,6.917241379310345,11.269662921348315,0.05517241379310345
2016,michael floyd,Michael Floyd,NE,WR,76,37,488,5,48.68421052631579,5.790800000000001,2.4188990618470334,15.569605263157897,1.7421621621621628,3.2119723014238137,-1.469810139261651,17.82202823112654,6.421052631578948,13.18918918918919,0.06578947368421052
2016,michael thomas,Michael Thomas,NO,WR,121,92,1137,9,76.03305785123968,4.842564102564103,2.444629136885177,8.438099173553718,4.9943478260869565,4.64559421380238,0.34875361228457624,20.033002134739753,9.396694214876034,12.358695652173912,0.0743801652892562
2016,mike evans,Mike Evans,TB,WR,173,96,1321,12,55.49132947976878,5.75391812865497,2.163240825809149,15.538265895953751,1.8864583333333333,2.430979800013174,-0.5445214666798408,44.006653089823246,7.635838150289017,13.760416666666666,0.06936416184971098
2016,mike wallace,Mike Wallace,BAL,WR,116,72,1017,4,62.06896551724138,5.773706896551724,2.713413276296051,12.511896551724137,5.834722222222222,5.248995777631813,0.5857264445904091,27.64164778029596,8.767241379310345,14.125,0.034482758620689655
2016,mohamed sanu,Mohamed Sanu,ATL,WR,81,59,653,4,72.8395061728395,5.716571428571429,2.8987122296004686,8.604938271604938,4.865254237288135,5.714003094942796,-0.8487488576546607,14.496189810655219,8.061728395061728,11.067796610169491,0.04938271604938271
2016,nelson agholor,Nelson Agholor,PHI,WR,69,36,365,2,52.17391304347826,6.24939393939394,2.292221220614623,11.44768115942029,3.022777777777778,3.3085145548319144,-0.2857367770541366,16.261513313652102,5.2898550724637685,10.13888888888889,0.028985507246376812
2016,phillip dorsett,Phillip Dorsett,IND,WR,59,33,528,2,55.932203389830505,7.072542372881356,2.902843283586208,13.835423728813561,4.325151515151516,4.658525747314787,-0.3333742321632709,15.613272687627438,8.94915254237288,16,0.03389830508474576
2016,pierre garcon,Pierre Garcon,WAS,WR,114,79,1041,3,69.2982456140351,5.0678761061946895,2.657758720873211,10.852368421052637,4.329113924050633,4.11357575428638,0.21553816976425288,21.668964043570185,9.131578947368421,13.177215189873417,0.02631578947368421
2016,quincy enunwa,Quincy Enunwa,NYJ,WR,105,58,857,4,55.23809523809524,6.523205128205127,2.4327383067130066,9.661142857142856,6.23448275862069,5.823938358795723,0.4105443998249667,19.326371861479288,8.161904761904761,14.775862068965518,0.0380952380952381
2016,quinton patton,Quinton Patton,SF,WR,63,37,408,0,58.730158730158735,6.387096774193547,3.2223971831420024,9.913809523809523,5.382702702702702,5.607346103801891,-0.2246434010991889,14.683568706462632,6.476190476190476,11.027027027027026,0
