"Player","Pos","Team                     Signed With","Age                     At Signing","Start                     Year","End                     Year","Yrs","Value","Average                     Salary","Average %                     % of Cap At Sign","Signing Bonus","Guarantee                     at Sign","Practical                     Guarantee","2-Year                     Cash Total","3-Year                     Cash Total"
"Joe Flacco","QB","BAL                  BAL","27","2013","2018","6","$120,600,000","$20,100,000","16.26%","$29,000,000","$29,000,000","$29,000,000","$51,000,000","$62,000,000"
"Aaron Rodgers","QB","GB                  GB","29","2013","2019","5","$110,000,000","$22,000,000","17.80%","$33,250,000","$33,250,000","$54,000,000","$49,158,256","$60,767,029"
"Tony Romo","QB","DAL                  DAL","32","2013","2019","6","$108,000,000","$18,000,000","14.56%","$25,000,000","$40,000,000","$55,000,000","$40,000,000","$57,002,458"
"Matt Ryan","QB","ATL                  ATL","27","2013","2018","5","$103,750,000","$20,750,000","16.79%","$28,000,000","$30,000,000","$42,000,000","$51,500,000","$63,007,925"
"Darrelle Revis","CB","TB                  TB","27","2013","2018","6","$96,000,000","$16,000,000","12.94%","","","","$16,000,000","$16,000,000"
"Clay Matthews Jr.","OLB","GB                  GB","26","2013","2018","5","$66,000,000","$13,200,000","10.68%","$20,500,000","$20,500,000","$20,500,000","$29,868,713","$38,481,502"
"Percy Harvin","WR","SEA                  SEA","24","2013","2018","6","$64,245,000","$10,707,500","8.66%","$12,000,000","","$14,500,000","$20,970,588","$31,470,588"
"Mike Wallace","WR","MIA                  MIA","26","2013","2017","5","$60,000,000","$12,000,000","9.71%","$11,000,000","$27,000,000","$30,000,000","$27,100,000","$37,000,000"
"Dwayne Bowe","WR","KC                  KC","28","2013","2017","5","$56,000,000","$11,200,000","9.06%","$15,000,000","","$20,000,000","$24,485,294","$35,485,294"
"Matthew Stafford","QB","DET                  DET","24","2013","2017","3","$53,000,000","$17,666,667","14.29%","$27,500,000","$33,500,000","$41,500,000","$33,508,969","$43,008,969"
"Ryan Clady","LT","DEN                  DEN","26","2013","2017","5","$52,500,000","$10,500,000","8.50%","$3,000,000","$15,000,000","$15,000,000","$23,000,000","$33,000,000"
"Andy Levitre","G","TEN                  TEN","26","2013","2018","6","$46,800,000","$7,800,000","6.31%","$10,500,000","$13,000,000","$16,000,000","$19,500,000","$26,556,277"
"Greg Jennings","WR","MIN                  MIN","29","2013","2017","5","$45,000,000","$9,000,000","7.28%","$10,000,000","","$17,800,000","$18,000,000","$27,000,000"
"Victor Cruz","WR","NYG                  NYG","26","2013","2018","5","$43,000,000","$8,600,000","6.96%","$9,500,000","$14,129,000","$15,629,000","$15,654,000","$21,879,000"
"James Laurinaitis","ILB","STL                  STL","26","2013","2017","5","$41,500,000","$8,300,000","6.72%","$2,000,000","","$13,620,000","$22,250,000","$25,916,297"
"Dashon Goldson","FS","TB                  TB","28","2013","2017","5","$41,250,000","$8,250,000","6.67%","","$18,000,000","$18,000,000","$17,735,295","$21,769,919"
"Sam Baker","LT","ATL                  ATL","27","2013","2018","6","$41,100,000","$6,850,000","5.54%","$10,000,000","","$18,250,000","$18,250,000","$22,750,000"
"Tom Brady","QB","NE                  NE","35","2013","2017","3","$41,000,000","$13,666,667","11.06%","$30,000,000","$33,000,000","$33,000,000","$32,000,000","$44,000,000"
"Paul Kruger","OLB","CLE                  CLE","26","2013","2017","5","$40,500,000","$8,100,000","6.55%","$6,000,000","$13,000,000","$13,000,000","$20,000,000","$27,000,000"
"Mike Williams","WR","TB                  TB","25","2013","2018","5","$39,620,000","$7,924,000","6.41%","","","$9,400,000","$10,000,000","$16,800,000"
"Carlos Dunlap","DE","CIN                  CIN","23","2013","2018","5","$39,370,000","$7,874,000","6.37%","$8,000,000","$11,700,000","$11,700,000","$20,000,000","$23,300,000"
"William Beatty","LT","NYG                  NYG","27","2013","2017","5","$37,500,000","$7,500,000","6.07%","$12,500,000","$18,350,000","$18,350,000","$18,450,000","$24,000,000"
"Connor Barwin","OLB","PHI                  PHI","26","2013","2018","6","$36,000,000","$6,000,000","4.85%","$3,000,000","$8,000,000","$8,000,000","$8,000,000","$14,425,075"
"Jermon Bushrod","T","CHI                  CHI","28","2013","2017","5","$35,965,000","$7,193,000","5.82%","$11,000,000","$12,715,000","$22,465,000","$16,932,170","$22,786,036"
"Jared Cook","TE","STL                  STL","25","2013","2017","5","$35,100,000","$7,020,000","5.68%","$5,000,000","","$16,000,000","$14,000,000","$21,014,235"
"Dannell Ellerbe","OLB","MIA                  MIA","27","2013","2017","5","$35,000,000","$7,000,000","5.66%","$7,000,000","$14,000,000","$14,000,000","$14,050,000","$24,025,000"
"Gosder Cherilus","RT","IND                  IND","28","2013","2017","5","$35,000,000","$7,000,000","5.66%","$10,000,000","","$15,500,000","$21,000,000","$25,000,000"
"Jake Long","LT","STL                  STL","27","2013","2016","4","$34,000,000","$8,500,000","6.88%","$5,000,000","","$12,000,000","$16,000,000","$25,250,000"
"Desmond Bryant","DE","CLE                  CLE","27","2013","2017","5","$34,000,000","$6,800,000","5.50%","$5,000,000","$12,000,000","$12,000,000","$15,000,000","$21,000,000"
"Anthony Davis","RT","SF                  SF","23","2013","2020","5","$33,200,000","$6,640,000","5.37%","$7,500,000","","$8,380,000","$12,545,600","$14,833,100"
"Brian Hartline","WR","MIA                  MIA","26","2013","2017","5","$30,775,000","$6,155,000","4.98%","$7,000,000","","$12,500,000","$12,525,000","$18,475,000"
"William Moore","SS","ATL                  ATL","27","2013","2017","5","$30,000,000","$6,000,000","4.85%","$8,250,000","","$14,000,000","$14,000,000","$17,732,196"
"Danny Amendola","WR","NE                  NE","27","2013","2017","5","$28,500,000","$5,700,000","4.61%","$6,000,000","","$10,000,000","$11,875,000","$16,375,000"
"Reshad Jones","SS","MIA                  MIA","24","2013","2017","4","$28,012,000","$7,003,000","5.67%","$5,000,000","$15,000,000","$15,000,000","$7,625,882","$14,385,882"
"Kam Chancellor","SS","SEA                  SEA","24","2013","2017","4","$28,002,008","$7,000,502","5.66%","$5,000,000","$7,825,000","$17,000,000","$12,150,000","$16,288,463"
"Elvis Dumervil","OLB","BAL                  BAL","28","2013","2017","5","$26,000,000","$5,200,000","4.21%","$7,500,000","$8,500,000","$11,000,000","$14,000,000","$19,000,000"
"Philip Wheeler","OLB","MIA                  MIA","28","2013","2017","5","$26,000,000","$5,200,000","4.21%","$7,000,000","","$13,000,000","$13,000,000","$16,000,000"
"Max Unger","C","SEA                  SEA","26","2013","2016","4","$25,835,000","$6,458,750","5.23%","$5,500,000","$12,900,000","$12,900,000","$12,900,000","$17,900,000"
"Keenan Lewis","CB","NO                  NO","26","2013","2017","5","$25,550,000","$5,110,000","4.13%","$6,000,000","$10,300,000","$10,300,000","$12,500,000","$17,302,975"
"Santonio Holmes","WR","NYJ                  NYJ","28","2013","2015","3","$25,250,000","$8,416,667","6.81%","","","$7,500,000","$15,750,000","$22,250,000"
"Chris Houston","CB","DET                  DET","28","2013","2017","5","$25,000,000","$5,000,000","4.05%","$6,500,000","","$7,500,000","$11,000,000","$15,500,000"
"Phillip Loadholt","RT","MIN                  MIN","26","2013","2016","4","$25,000,000","$6,250,000","5.06%","$7,000,000","","$7,000,000","$14,000,000","$19,000,000"
"Morgan Burnett","SS","GB                  GB","23","2013","2017","4","$24,750,000","$6,187,500","5.01%","$8,250,000","$8,250,000","$8,250,000","$12,797,761","$16,225,834"
