"Player","Pos","Team                     Signed With","Age                     At Signing","Start                     Year","End                     Year","Yrs","Value","Average                     Salary","Average %                     % of Cap At Sign","Signing Bonus","Guarantee                     at Sign","Practical                     Guarantee","2-Year                     Cash Total","3-Year                     Cash Total"
"Russell Wilson","QB","DEN                  DEN","33","2022","2028","5","$242,588,236","$48,517,647","23.30%","$50,000,000","$124,000,000","$161,000,000","$85,000,000","$124,000,000"
"Kyler Murray","QB","ARI                  ARI","24","2022","2028","5","$230,500,000","$46,100,000","22.14%","$29,035,000","$103,300,000","$159,797,000","$69,026,552","$107,898,959"
"Deshaun Watson","QB","CLE                  CLE","26","2022","2026","5","$230,000,000","$46,000,000","22.09%","$44,965,000","$230,000,000","$230,000,000","$91,381,365","$137,405,318"
"Matthew Stafford","QB","LAR                  LAR","33","2022","2026","4","$160,000,000","$40,000,000","19.21%","$60,000,000","$63,000,000","$130,000,000","$89,000,000","$125,007,875"
"Aaron Rodgers","QB","GB                  GB","38","2022","2024","3","$150,815,000","$50,271,667","24.15%","$40,800,000","$101,515,000","$150,815,000","$43,215,000","$150,815,000"
"Davante Adams","WR","LV                  LV","29","2022","2026","5","$140,000,000","$28,000,000","13.45%","$19,250,000","$22,750,000","$65,670,000","$50,250,000","$61,840,000"
"Derek Carr","QB","LV                  LV","30","2022","2025","3","$121,500,000","$40,500,000","19.45%","$7,500,000","$24,877,519","$65,277,519","$58,000,000","$100,000,000"
"Tyreek Hill","WR","MIA                  MIA","27","2022","2026","4","$120,000,000","$30,000,000","14.41%","$25,500,000","$52,535,000","$72,200,000","$53,235,000","$73,000,000"
"Von Miller","LB","BUF                  BUF","32","2022","2027","6","$120,000,000","$20,000,000","9.61%","$18,525,000","$45,000,000","$51,435,000","$34,820,000","$47,297,028"
"Bradley Chubb","ED","MIA                  MIA","26","2022","2027","5","$110,000,000","$22,000,000","10.57%","$13,487,445","$33,462,445","$53,212,445","$33,562,445","$54,014,797"
"Denzel Ward","CB","CLE                  CLE","24","2022","2027","5","$100,500,000","$20,100,000","9.65%","$20,000,000","$44,500,000","$71,250,000","$43,934,822","$59,893,584"
"A.J. Brown","WR","PHI                  PHI","24","2022","2026","4","$100,000,000","$25,000,000","12.01%","$23,474,470","$39,999,000","$57,220,000","$36,220,470","$56,980,470"
"Stefon Diggs","WR","BUF                  BUF","28","2022","2025","4","$96,000,000","$24,000,000","11.53%","$21,500,000","$47,985,000","$70,000,000","$48,980,000","$71,500,000"
"Aaron Donald","DT","LAR                  LAR","31","2022","2024","3","$95,000,000","$31,666,667","15.21%","$25,000,000","$46,500,000","$95,000,000","$60,000,000","$65,000,000"
"Maxx Crosby","DL","LV                  LV","24","2022","2026","4","$94,000,000","$23,500,000","11.29%","$13,000,000","$26,560,000","$53,075,000","$34,764,000","$59,916,000"
"Xavien Howard","CB","MIA                  MIA","28","2022","2026","5","$90,000,000","$18,000,000","8.65%","$13,770,000","$36,300,000","$36,300,000","$37,500,000","$37,500,000"
"Harold Landry","LB","TEN                  TEN","25","2022","2026","5","$87,500,000","$17,500,000","8.41%","$19,000,000","$35,250,000","$52,500,000","$35,250,000","$52,500,000"
"Jaire Alexander","CB","GB                  GB","24","2022","2026","4","$84,000,000","$21,000,000","10.09%","$30,000,000","$30,000,000","$30,000,000","$44,883,645","$60,183,645"
"J.C. Jackson","CB","LAC                  LAC","26","2022","2026","5","$82,500,000","$16,500,000","7.93%","$25,000,000","$40,000,000","$40,000,000","$29,555,555","$43,930,555"
"Cooper Kupp","WR","LAR                  LAR","28","2022","2026","3","$80,100,000","$26,700,000","12.82%","$20,000,000","$35,000,000","$75,000,000","$50,000,000","$70,000,000"
"Quenton Nelson","G","IND                  IND","25","2022","2026","4","$80,000,000","$20,000,000","9.61%","$31,000,000","$41,000,000","$60,000,000","$41,000,000","$60,000,000"
"Derwin James","S","LAC                  LAC","25","2022","2026","4","$76,532,000","$19,133,000","9.19%","$20,532,000","$38,584,000","$42,000,000","$38,584,000","$50,625,666"
"Terron Armstead","LT","MIA                  MIA","30","2022","2026","5","$75,000,000","$15,000,000","7.20%","","$30,120,000","$43,370,000","$33,414,112","$47,664,112"
"Minkah Fitzpatrick","S","PIT                  PIT","25","2022","2026","4","$73,612,235","$18,403,059","8.84%","$17,500,000","$36,000,000","$36,000,000","$36,624,235","$51,124,235"
"Christian Kirk","WR","JAX                  JAX","25","2022","2025","4","$72,000,000","$18,000,000","8.65%","$20,000,000","$37,000,000","$37,000,000","$40,352,932","$56,588,226"
"D.K. Metcalf","WR","SEA                  SEA","24","2022","2025","3","$72,000,000","$24,000,000","11.53%","$30,000,000","$31,000,000","$58,200,000","$45,220,000","$58,220,000"
"Deebo Samuel","WR","SF                  SF","25","2022","2025","3","$71,550,000","$23,850,000","11.46%","$24,035,000","$41,000,000","$58,100,000","$36,328,521","$58,050,521"
"Marcus Williams","S","BAL                  BAL","25","2022","2025","5","$70,000,000","$14,000,000","6.72%","$14,965,000","$32,000,000","$37,000,000","$32,000,000","$45,661,223"
"Randy Gregory","OLB","DEN                  DEN","29","2022","2023","5","$70,000,000","$14,000,000","6.72%","$10,000,000","$28,000,000","$28,000,000","$14,840,000","$28,840,000"
