"Player","Pos","Team                     Signed With","Age                     At Signing","Start                     Year","End                     Year","Yrs","Value","Average                     Salary","Average %                     % of Cap At Sign","Signing Bonus","Guarantee                     at Sign","Practical                     Guarantee","2-Year                     Cash Total","3-Year                     Cash Total"
"Jay Cutler","QB","CHI                  CHI","30","2014","2020","7","$126,700,000","$18,100,000","13.61%","","$38,000,000","$54,000,000","$38,013,588","$54,013,588"
"Colin Kaepernick","QB","SF                  SF","26","2014","2017","6","$114,000,000","$19,000,000","14.29%","$12,328,766","$12,973,766","$61,000,000","$25,128,686","$39,428,686"
"J.J. Watt","DE","HOU                  HOU","24","2014","2021","6","$100,005,425","$16,667,571","12.53%","$10,000,000","$30,881,810","$51,876,000","$30,876,385","$41,376,385"
"Andy Dalton","QB","CIN                  CIN","26","2014","2020","6","$96,000,000","$16,000,000","12.03%","$12,000,000","$17,000,000","$17,000,000","$25,286,027","$35,986,027"
"Alex Smith","QB","KC                  KC","29","2014","2018","4","$68,000,000","$17,000,000","12.78%","$18,000,000","$30,000,000","$45,000,000","$31,000,000","$45,200,000"
"Robert Quinn","DE","STL                  STL","23","2014","2019","4","$57,014,895","$14,253,724","10.72%","$4,776,774","$15,618,583","$41,171,774","$21,275,231","$31,477,250"
"Aqib Talib","CB","DEN                  DEN","27","2014","2019","6","$57,000,000","$9,500,000","7.14%","$5,000,000","$11,500,000","$25,500,000","$17,875,000","$26,781,250"
"Richard Sherman","CB","SEA                  SEA","25","2014","2018","4","$56,000,000","$14,000,000","10.53%","$11,000,000","$12,431,000","$40,000,000","$22,445,191","$35,014,191"
"Jairus Byrd","FS","NO                  NO","27","2014","2019","6","$54,000,000","$9,000,000","6.77%","$11,000,000","$12,300,000","$26,300,000","$20,418,854","$27,918,854"
"Geno Atkins","DT","CIN                  CIN","25","2014","2018","5","$53,327,000","$10,665,400","8.02%","$15,000,000","$15,000,000","$15,000,000","$25,000,000","$31,000,000"
"Brian Cushing","ILB","HOU                  HOU","26","2014","2019","6","$52,500,000","$8,750,000","6.58%","$9,000,000","$15,000,000","$21,000,000","$16,752,411","$21,846,161"
"Donald Butler","ILB","SD                  SD","25","2014","2020","7","$51,800,000","$7,400,000","5.56%","$11,150,000","$11,150,000","$11,150,000","$15,169,750","$19,819,750"
