season,player,player_key,team,pos,reg_games,reg_targets,reg_receptions,reg_receiving_yards,reg_receiving_tds,reg_receiving_fumbles,reg_receiving_first_downs,reg_receiving_air_yards,reg_receiving_yards_after_catch,reg_receiving_epa,reg_catch_rate,reg_yards_per_target,reg_yards_per_reception,reg_td_per_target,reg_air_yards_per_target,reg_yac_per_reception,adv_targets,adv_receptions,adv_yards,adv_rec_touchdowns,adv_catch_percentage,adv_avg_cushion,adv_avg_separation,adv_avg_intended_air_yards,adv_avg_yac,adv_avg_expected_yac,adv_avg_yac_above_expectation,adv_percent_share_of_intended_air_yards,adv_yards_per_target,adv_yards_per_reception,adv_td_per_target
2010,Jordan Shipley,jordan shipley,CIN,WR,15,74,52,600,3,0,30,570,206,21.662556347302456,0.7027027027027027,8.108108108108109,11.538461538461538,0.04054054054054054,7.702702702702703,3.9615384615384617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Jordy Nelson,jordy nelson,GB,WR,16,64,45,582,2,1,25,662,250,29.47735917653153,0.703125,9.09375,12.933333333333334,0.03125,10.34375,5.555555555555555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Josh Johnson,josh johnson,TB,QB,8,1,0,0,0,0,0,15,0,-0.5398355391807854,0,0,NA,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Josh Morgan,josh morgan,SF,WR,16,80,44,698,2,1,27,1007,299,15.573699591026884,0.55,8.725,15.863636363636363,0.025,12.5875,6.795454545454546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Julian Edelman,julian edelman,NE,WR,15,14,7,86,0,0,3,46,99,-3.1107580961620425,0.5,6.142857142857143,12.285714285714286,0,3.2857142857142856,14.142857142857142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Kassim Osgood,kassim osgood,JAX,WR,14,16,6,60,1,0,4,166,20,-2.0973997811379377,0.375,3.75,10,0.0625,10.375,3.3333333333333335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Kenny Britt,kenny britt,TEN,WR,11,73,42,775,9,1,33,1223,123,45.8736838792588,0.5753424657534246,10.616438356164384,18.452380952380953,0.1232876712328767,16.753424657534246,2.9285714285714284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Kevin Ogletree,kevin ogletree,DAL,WR,3,6,3,34,0,0,2,56,6,-0.48188009092906414,0.5,5.666666666666667,11.333333333333334,0,9.333333333333334,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Kevin Smith,kevin smith,DET,RB,6,16,11,123,0,0,7,25,104,7.264903415541725,0.6875,7.6875,11.181818181818182,0,1.5625,9.454545454545455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Kevin Walter,kevin walter,HOU,WR,14,80,51,621,5,0,33,829,131,14.49722873036536,0.6375,7.7625,12.176470588235293,0.0625,10.3625,2.5686274509803924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Kyle Williams,kyle williams,BUF/SF,DT,19,1,1,8,0,0,0,4,4,0.202227862784639,1,8,8,0,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Lance Moore,lance moore,NO,WR,15,94,66,763,8,1,40,774,290,37.01323981135933,0.7021276595744681,8.117021276595745,11.56060606060606,0.0851063829787234,8.23404255319149,4.393939393939394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Larry Fitzgerald,larry fitzgerald,ARI,WR,16,173,90,1137,6,0,59,2147,210,-14.19838841126304,0.5202312138728323,6.572254335260116,12.633333333333333,0.03468208092485549,12.410404624277456,2.3333333333333335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Laurent Robinson,laurent robinson,LA,WR,13,75,34,344,2,0,20,731,109,-3.928657187974045,0.4533333333333333,4.586666666666667,10.117647058823529,0.02666666666666667,9.746666666666666,3.2058823529411766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Lavelle Hawkins,lavelle hawkins,TEN,WR,3,6,5,61,0,0,3,89,5,6.125845308066346,0.8333333333333334,10.166666666666666,12.2,0,14.833333333333334,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Lee Evans,lee evans,BUF,WR,13,83,37,578,4,2,27,1317,120,6.5482539242074544,0.4457831325301205,6.963855421686747,15.621621621621621,0.04819277108433735,15.867469879518072,3.2432432432432434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Legedu Naanee,legedu naanee,LAC,WR,9,46,23,371,1,1,20,548,106,10.47646458958155,0.5,8.065217391304348,16.130434782608695,0.021739130434782608,11.91304347826087,4.608695652173913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Louis Murphy,louis murphy,LV,WR,14,78,41,609,2,2,27,1001,206,8.697059760471419,0.5256410256410257,7.8076923076923075,14.853658536585366,0.02564102564102564,12.833333333333334,5.024390243902439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Malcom Floyd,malcom floyd,LAC,WR,11,77,37,717,6,1,33,1343,110,25.013185104145844,0.4805194805194805,9.311688311688311,19.37837837837838,0.07792207792207792,17.441558441558442,2.972972972972973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Marc Mariani,marc mariani,TEN,WR,16,2,0,0,0,0,0,-4,0,-1.74084458546713,0,0,NA,0,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Marcus Smith,marcus smith,BAL,WR,7,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Mardy Gilyard,mardy gilyard,LA,WR,7,16,6,63,0,0,4,143,20,-2.856499487158773,0.375,3.9375,10.5,0,8.9375,3.3333333333333335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Mario Manningham,mario manningham,NYG,WR,16,92,60,944,9,1,32,1184,350,29.29505440610106,0.6521739130434783,10.26086956521739,15.733333333333333,0.09782608695652174,12.869565217391305,5.833333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Mario Williams,mario williams,HOU,DE,12,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Mark Clayton,mark clayton,LA,WR,5,42,23,306,2,0,15,399,96,2.3106656852469314,0.5476190476190477,7.285714285714286,13.304347826086957,0.047619047619047616,9.5,4.173913043478261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Marlon Moore,marlon moore,MIA,WR,7,19,6,128,1,0,4,241,72,0.9951624850779082,0.3157894736842105,6.7368421052631575,21.333333333333332,0.05263157894736842,12.68421052631579,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Marques Colston,marques colston,NO,WR,15,132,84,1023,7,0,57,1350,268,53.4741703962455,0.6363636363636364,7.75,12.178571428571429,0.05303030303030303,10.227272727272727,3.1904761904761907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Matt Willis,matt willis,DEN,WR,2,2,1,17,0,0,1,34,0,2.9976286574383266,0.5,8.5,17,0,17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Matthew Slater,matthew slater,NE,WR,10,1,0,0,0,0,0,51,0,-0.7686098669655621,0,0,NA,0,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Maurice Stovall,maurice stovall,TB,WR,7,9,7,81,1,0,4,38,56,2.8308128486270183,0.7777777777777778,9,11.571428571428571,0.1111111111111111,4.222222222222222,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Max Komar,max komar,ARI,WR,8,22,12,117,0,1,6,212,40,-19.236176968435757,0.5454545454545454,5.318181818181818,9.75,0,9.636363636363637,3.3333333333333335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Michael Bennett,michael bennett,LV/TB,RB,16,2,2,9,0,0,0,6,3,-0.6108029537135735,1,4.5,4.5,0,3,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Michael Clayton,michael clayton,NYG,WR,2,4,2,19,0,0,1,45,2,-1.8575260508805513,0.5,4.75,9.5,0,11.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Michael Crabtree,michael crabtree,SF,WR,16,101,55,741,6,0,40,1043,292,0.6494371160988548,0.5445544554455446,7.336633663366337,13.472727272727273,0.0594059405940594,10.326732673267326,5.3090909090909095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Michael Jenkins,michael jenkins,ATL,WR,11,73,41,505,2,0,29,985,83,22.893269946448466,0.5616438356164384,6.917808219178082,12.317073170731707,0.0273972602739726,13.493150684931507,2.024390243902439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Michael Johnson,michael johnson,NYG/CIN,FS,15,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Micheal Spurlock,micheal spurlock,TB,WR,16,33,17,250,2,0,12,516,33,11.326934967524718,0.5151515151515151,7.575757575757576,14.705882352941176,0.06060606060606061,15.636363636363637,1.9411764705882353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Mike Sims-Walker,mike sims walker,JAX,WR,14,80,43,562,7,1,33,906,117,18.18035129863115,0.5375,7.025,13.069767441860465,0.0875,11.325,2.7209302325581395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Mike Thomas,mike thomas,JAX,WR,16,101,66,820,4,0,38,1101,300,34.58294258362218,0.6534653465346535,8.118811881188119,12.424242424242424,0.039603960396039604,10.900990099009901,4.545454545454546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Mike Wallace,mike wallace,PIT,WR,16,98,60,1257,10,1,48,1532,361,69.54921622401743,0.6122448979591837,12.826530612244898,20.95,0.10204081632653061,15.63265306122449,6.016666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Mike Williams,mike williams,SEA/TB,WR,29,239,130,1715,13,3,84,2898,528,55.65100203371874,0.5439330543933054,7.175732217573222,13.192307692307692,0.05439330543933055,12.125523012552302,4.061538461538461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Miles Austin,miles austin,DAL,WR,16,119,69,1041,7,1,50,1196,448,26.75571457474291,0.5798319327731093,8.747899159663865,15.08695652173913,0.058823529411764705,10.050420168067227,6.492753623188406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Mohamed Massaquoi,mohamed massaquoi,CLE,WR,15,73,36,483,2,1,24,946,137,-19.540664531924307,0.4931506849315068,6.616438356164384,13.416666666666666,0.0273972602739726,12.95890410958904,3.8055555555555554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Naaman Roosevelt,naaman roosevelt,BUF,WR,4,17,9,139,0,0,7,194,33,1.29299389445805,0.5294117647058824,8.176470588235293,15.444444444444445,0,11.411764705882353,3.6666666666666665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Nate Washington,nate washington,TEN,WR,16,94,42,687,6,0,34,1544,114,5.368553891969495,0.44680851063829785,7.308510638297872,16.357142857142858,0.06382978723404255,16.425531914893618,2.7142857142857144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Nick Miller,nick miller,LV,WR,9,4,3,40,0,0,1,59,3,1.8616041866855808,0.75,10,13.333333333333334,0,14.75,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Patrick Turner,patrick turner,NYJ,WR,3,2,2,26,0,0,0,23,3,1.1849205968901515,1,13,13,0,11.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Percy Harvin,percy harvin,MIN,WR,14,109,71,868,5,0,41,1006,425,19.621970850930783,0.6513761467889908,7.963302752293578,12.225352112676056,0.045871559633027525,9.229357798165138,5.985915492957746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Pierre Garcon,pierre garcon,IND,WR,14,120,68,816,6,1,41,1449,251,24.200592247392024,0.5666666666666667,6.8,12,0.05,12.075,3.6911764705882355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Preston Parker,preston parker,TB,WR,8,9,4,42,0,0,3,76,31,-0.7451995250411896,0.4444444444444444,4.666666666666667,10.5,0,8.444444444444445,7.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
