season,player_key,player,team,pos,reg_games,reg_targets,reg_receptions,reg_receiving_yards,reg_receiving_tds,reg_receiving_fumbles,reg_receiving_first_downs,reg_receiving_air_yards,reg_receiving_yards_after_catch,reg_receiving_epa,reg_catch_rate,reg_yards_per_target,reg_yards_per_reception,reg_td_per_target,reg_air_yards_per_target,reg_yac_per_reception
2011,brian robiskie,Brian Robiskie,CLE,WR,5,9,3,25,0,0,2,114,2,-4.203752335563489,0.3333333333333333,2.7777777777777777,8.333333333333334,0,12.666666666666666,0.6666666666666666
2011,bryan walters,Bryan Walters,LAC,WR,3,4,3,27,0,0,2,34,15,0.7969103823998012,0.75,6.75,9,0,8.5,5
2011,bryant johnson,Bryant Johnson,HOU,WR,9,12,6,90,1,0,4,169,11,4.659992717059695,0.5,7.5,15,0.08333333333333333,14.083333333333334,1.8333333333333333
2011,calvin johnson,Calvin Johnson,DET,WR,16,161,97,1686,16,1,77,2246,496,63.492137329415044,0.6024844720496895,10.472049689440993,17.38144329896907,0.09937888198757763,13.950310559006212,5.11340206185567
2011,carlton mitchell,Carlton Mitchell,CLE,WR,3,4,3,31,0,0,2,36,3,2.3716366341686808,0.75,7.75,10.333333333333334,0,9,1
2011,cecil shorts,Cecil Shorts,JAX,WR,10,12,2,30,1,0,2,168,3,-11.360435497597791,0.16666666666666666,2.5,15,0.08333333333333333,14,1.5
2011,chad hall,Chad Hall,PHI,WR,7,9,3,20,1,0,1,80,11,-2.203318700834643,0.3333333333333333,2.2222222222222223,6.666666666666667,0.1111111111111111,8.88888888888889,3.6666666666666665
2011,chad johnson,Chad Johnson,NE,WR,14,32,15,276,1,0,13,585,53,7.313057675123754,0.46875,8.625,18.4,0.03125,18.28125,3.533333333333333
2011,chansi stuckey,Chansi Stuckey,ARI,WR,4,8,4,39,0,1,2,62,10,-3.967360663227737,0.5,4.875,9.75,0,7.75,2.5
2011,charles johnson,Charles Johnson,CAR,DE,15,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
2011,chastin west,Chastin West,JAX,WR,10,27,13,163,2,0,9,297,49,0.4311311878846027,0.48148148148148145,6.037037037037037,12.538461538461538,0.07407407407407407,11,3.769230769230769
2011,chaz schilens,Chaz Schilens,LV,WR,11,34,23,271,2,0,13,430,36,13.847940611844765,0.6764705882352942,7.970588235294118,11.782608695652174,0.058823529411764705,12.647058823529411,1.565217391304348
2011,chris williams,Chris Williams,CHI,G,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
2011,clyde gates,Clyde Gates,MIA,WR,13,12,2,19,0,0,1,240,1,-8.025503374577966,0.16666666666666666,1.5833333333333333,9.5,0,20,0.5
2011,courtney roby,Courtney Roby,NO,WR,6,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
2011,d j moore,D.J. Moore,CHI,CB,13,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
2011,damian williams,Damian Williams,TEN,WR,15,94,45,592,5,0,27,1152,213,15.867291047607353,0.4787234042553192,6.297872340425532,13.155555555555555,0.05319148936170213,12.25531914893617,4.733333333333333
2011,danario alexander,Danario Alexander,LA,WR,10,60,26,431,2,0,19,759,132,2.134388498650722,0.43333333333333335,7.183333333333334,16.576923076923077,0.03333333333333333,12.65,5.076923076923077
2011,dane sanzenbacher,Dane Sanzenbacher,CHI,WR,14,54,27,276,3,0,16,404,58,2.1148387016539045,0.5,5.111111111111111,10.222222222222221,0.05555555555555555,7.481481481481482,2.1481481481481484
2011,danny amendola,Danny Amendola,LA,WR,1,6,5,45,0,0,3,26,25,2.6531828099074093,0.8333333333333334,7.5,9,0,4.333333333333333,5
2011,darrius heyward bey,Darrius Heyward-Bey,LV,WR,15,115,64,975,4,1,44,1652,250,30.021985551656268,0.5565217391304348,8.478260869565217,15.234375,0.034782608695652174,14.365217391304348,3.90625
2011,darvin adams,Darvin Adams,CAR,WR,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
2011,david anderson,David Anderson,WAS,WR,5,16,7,79,1,0,5,167,16,3.0474024728677427,0.4375,4.9375,11.285714285714286,0.0625,10.4375,2.2857142857142856
2011,david nelson,David Nelson,BUF,WR,16,98,61,658,5,0,32,833,199,-1.7816536445246816,0.6224489795918368,6.714285714285714,10.78688524590164,0.05102040816326531,8.5,3.262295081967213
2011,david reed,David Reed,BAL,WR,9,2,0,0,0,0,0,42,0,-0.48358935688156635,0,0,NA,0,21,NA
2011,davone bess,Davone Bess,MIA,WR,16,86,51,537,3,2,25,652,227,-9.533810827183961,0.5930232558139535,6.244186046511628,10.529411764705882,0.03488372093023256,7.5813953488372094,4.450980392156863
2011,deion branch,Deion Branch,NE,WR,14,90,51,702,5,0,37,827,331,25.00376253864166,0.5666666666666667,7.8,13.764705882352942,0.05555555555555555,9.188888888888888,6.490196078431373
2011,demarco sampson,DeMarco Sampson,ARI,WR,6,8,3,36,0,0,3,75,7,0.6178668949287385,0.375,4.5,12,0,9.375,2.3333333333333335
2011,demaryius thomas,Demaryius Thomas,DEN,WR,10,70,32,551,4,0,24,1089,113,21.740402376381663,0.45714285714285713,7.871428571428571,17.21875,0.05714285714285714,15.557142857142857,3.53125
2011,denarius moore,Denarius Moore,LV,WR,13,76,33,618,5,0,26,1344,126,1.9994004480572571,0.4342105263157895,8.131578947368421,18.727272727272727,0.06578947368421052,17.68421052631579,3.8181818181818183
2011,deon butler,Deon Butler,SEA,WR,4,7,6,51,0,0,3,60,10,1.9948473790333554,0.8571428571428571,7.285714285714286,8.5,0,8.571428571428571,1.6666666666666667
2011,derek hagan,Derek Hagan,BUF,WR,9,42,24,252,1,0,15,483,42,4.47856271292173,0.5714285714285714,6,10.5,0.023809523809523808,11.5,1.75
2011,derrick johnson,Derrick Johnson,KC,LB,16,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
2011,derrick mason,Derrick Mason,HOU,WR,11,35,19,170,0,0,11,282,38,-3.5756000230085774,0.5428571428571428,4.857142857142857,8.947368421052632,0,8.057142857142857,2
2011,desean jackson,DeSean Jackson,PHI,WR,15,104,58,961,4,0,39,1577,227,26.99340957077804,0.5576923076923077,9.240384615384615,16.56896551724138,0.038461538461538464,15.163461538461538,3.913793103448276
2011,devery henderson,Devery Henderson,NO,WR,15,50,32,503,2,1,23,628,174,26.4595234744945,0.64,10.06,15.71875,0.04,12.56,5.4375
2011,devin aromashodu,Devin Aromashodu,MIN,WR,15,84,26,468,1,1,21,1395,115,-18.786511232744562,0.30952380952380953,5.571428571428571,18,0.011904761904761904,16.607142857142858,4.423076923076923
2011,devin hester,Devin Hester,CHI,WR,16,56,26,369,1,1,15,592,148,6.63180796497228,0.4642857142857143,6.589285714285714,14.192307692307692,0.017857142857142856,10.571428571428571,5.6923076923076925
2011,dez bryant,Dez Bryant,DAL,WR,15,103,63,928,9,1,48,1256,299,44.71565703590148,0.6116504854368932,9.009708737864077,14.73015873015873,0.08737864077669903,12.194174757281553,4.746031746031746
2011,domenik hixon,Domenik Hixon,NYG,WR,2,6,4,50,1,0,3,61,0,2.8132945217075758,0.6666666666666666,8.333333333333334,12.5,0.16666666666666666,10.166666666666666,0
2011,dominique curry,Dominique Curry,LA,WR,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
2011,donald jones,Donald Jones,BUF,WR,8,46,23,231,1,0,9,561,68,-17.623828129034244,0.5,5.021739130434782,10.043478260869565,0.021739130434782608,12.195652173913043,2.9565217391304346
2011,donnie avery,Donnie Avery,TEN,WR,4,11,3,45,1,0,3,106,21,-12.190264128762045,0.2727272727272727,4.090909090909091,15,0.09090909090909091,9.636363636363637,7
2011,donte stallworth,Donte' Stallworth,WAS,WR,11,38,22,309,2,0,15,408,104,12.970755913394651,0.5789473684210527,8.131578947368421,14.045454545454545,0.05263157894736842,10.736842105263158,4.7272727272727275
2011,doug baldwin,Doug Baldwin,SEA,WR,16,87,51,788,4,0,40,974,310,47.8119087008869,0.5862068965517241,9.057471264367816,15.450980392156863,0.04597701149425287,11.195402298850574,6.078431372549019
2011,dwayne bowe,Dwayne Bowe,KC,WR,16,141,81,1159,5,1,57,1643,344,26.706898198721152,0.574468085106383,8.21985815602837,14.308641975308642,0.03546099290780142,11.652482269503546,4.246913580246914
2011,dwayne harris,Dwayne Harris,DAL,WR,7,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
2011,earl bennett,Earl Bennett,CHI,WR,11,43,24,381,1,1,14,514,125,3.435724074684522,0.5581395348837209,8.86046511627907,15.875,0.023255813953488372,11.953488372093023,5.208333333333333
2011,early doucet,Early Doucet,ARI,WR,16,98,54,689,5,1,35,843,323,3.335517229082681,0.5510204081632653,7.030612244897959,12.75925925925926,0.05102040816326531,8.60204081632653,5.981481481481482
