"Player","Pos","Team                     Signed With","Age                     At Signing","Start                     Year","End                     Year","Yrs","Value","Average                     Salary","Average %                     % of Cap At Sign","Signing Bonus","Guarantee                     at Sign","Practical                     Guarantee","2-Year                     Cash Total","3-Year                     Cash Total"
"Calvin Johnson","WR","DET                  DET","26","2012","2019","7","$113,450,000","$16,207,143","13.44%","$16,000,000","$31,885,000","$53,250,000","$45,155,000","$50,161,924"
"Drew Brees","QB","NO                  NO","32","2012","2016","5","$100,000,000","$20,000,000","16.58%","$37,000,000","$40,000,000","$40,000,000","$50,000,000","$61,000,000"
"Peyton Manning","QB","DEN                  DEN","35","2012","2016","5","$96,000,000","$19,200,000","15.92%","","$18,000,000","$58,000,000","$43,000,000","$58,000,000"
"Mario Williams","DE","BUF                  BUF","26","2012","2017","6","$96,000,000","$16,000,000","13.27%","$19,000,000","$24,900,000","$31,400,000","$40,000,000","$53,400,000"
"Matt Schaub","QB","HOU                  HOU","30","2012","2015","4","$62,000,000","$15,500,000","12.85%","$17,500,000","","$29,150,000","$29,150,000","$31,087,500"
"Vincent Jackson","WR","TB                  TB","28","2012","2016","5","$55,555,555","$11,111,111","9.21%","","$26,000,000","$26,000,000","$26,000,000","$36,000,000"
"Calais Campbell","DL","ARI                  ARI","25","2012","2016","5","$55,000,000","$11,000,000","9.12%","$15,000,000","$31,000,000","$31,000,000","$30,250,000","$36,000,000"
"Rob Gronkowski","TE","NE                  NE","22","2012","2020","6","$54,000,000","$9,000,000","7.46%","$8,000,000","$12,920,000","$12,920,000","$9,230,000","$12,980,000"
"Duane Brown","LT","HOU                  HOU","26","2012","2018","6","$53,400,000","$8,900,000","7.38%","$12,500,000","$22,081,500","$22,081,500","$3,581,500","$9,581,500"
"Brandon Carr","CB","DAL                  DAL","25","2012","2016","5","$50,100,000","$10,020,000","8.31%","$10,000,000","$25,500,000","$26,500,000","$25,500,000","$33,000,000"
"Lardarius Webb","CB","BAL                  BAL","26","2012","2017","6","$50,000,000","$8,333,333","6.91%","$10,000,000","","$10,615,000","$18,000,000","$25,500,000"
"Cortland Finnegan","CB","STL                  STL","27","2012","2016","5","$50,000,000","$10,000,000","8.29%","$5,000,000","","$24,000,000","$24,000,000","$33,000,000"
"Trent Cole","OLB","PHI                  PHI","29","2012","2017","4","$48,525,000","$12,131,250","10.06%","$8,000,000","","$14,500,000","$16,000,000","$21,000,000"
"Chris Long","DE","STL                  STL","26","2012","2016","4","$48,200,000","$12,050,000","9.99%","$6,050,000","$23,550,000","$36,750,000","$21,507,500","$34,907,500"
