"Player","Pos","Team                     Signed With","Age                     At Signing","Start                     Year","End                     Year","Yrs","Value","Average                     Salary","Average %                     % of Cap At Sign","Signing Bonus","Guarantee                     at Sign","Practical                     Guarantee","2-Year                     Cash Total","3-Year                     Cash Total"
"Matthew Stafford","QB","DET                  DET","28","2017","2022","5","$135,000,000","$27,000,000","16.17%","$50,000,000","$60,500,000","$92,000,000","$67,500,000","$100,200,000"
"Derek Carr","QB","OAK                  OAK","25","2017","2022","5","$125,000,000","$25,000,000","14.97%","$12,500,000","$40,000,000","$70,200,000","$47,675,000","$67,675,000"
"Chandler Jones","DE","ARI                  ARI","26","2017","2021","5","$82,500,000","$16,500,000","9.88%","$15,000,000","$31,000,000","$51,000,000","$34,500,000","$51,014,955"
"DeAndre Hopkins","WR","HOU                  HOU","24","2017","2022","5","$81,000,000","$16,200,000","9.70%","$7,500,000","$36,500,000","$49,000,000","$36,500,000","$49,000,000"
"Kawann Short","DT","CAR                  CAR","27","2017","2021","5","$80,500,000","$16,100,000","9.64%","$20,000,000","$35,000,000","$35,000,000","$39,000,000","$52,002,644"
"Eric Berry","SS","KC                  KC","28","2017","2022","6","$78,000,000","$13,000,000","7.78%","$20,000,000","$29,800,000","$40,000,000","$30,000,000","$42,500,000"
"Xavier Rhodes","CB","MIN                  MIN","26","2017","2022","5","$70,100,000","$14,020,000","8.40%","$12,000,000","$22,400,000","$32,800,000","$30,963,500","$41,963,500"
"Desmond Trufant","CB","ATL                  ATL","26","2017","2022","5","$68,750,000","$13,750,000","8.23%","$15,000,000","$20,776,000","$41,526,000","$32,026,000","$41,534,823"
"Antonio Brown","WR","PIT                  PIT","28","2017","2021","4","$68,000,000","$17,000,000","10.18%","$19,000,000","$19,000,000","$19,000,000","$33,785,000","$48,910,000"
"A.J. Bouye","CB","JAX                  JAX","25","2017","2021","5","$67,500,000","$13,500,000","8.08%","$10,000,000","$26,000,000","$26,000,000","$26,906,250","$40,343,750"
"Stephon Gilmore","CB","NE                  NE","26","2017","2021","5","$65,000,000","$13,000,000","7.78%","$18,000,000","$31,000,000","$40,000,000","$31,906,250","$41,906,250"
"Melvin Ingram","OLB","LAC                  LAC","27","2017","2020","4","$64,000,000","$16,000,000","9.58%","$10,500,000","$34,000,000","$34,000,000","$34,000,000","$51,000,000"
"Jason Pierre-Paul","ED","NYG                  NYG","27","2017","2020","4","$62,000,000","$15,500,000","9.28%","$20,000,000","$28,500,000","$40,000,000","$35,000,000","$49,900,000"
"Jurrell Casey","DT","TEN                  TEN","27","2017","2022","4","$60,400,000","$15,100,000","9.04%","$8,000,000","$24,000,000","$40,000,000","$26,768,750","$37,856,250"
