"Player","Pos","Team                     Signed With","Age                     At Signing","Start                     Year","End                     Year","Yrs","Value","Average                     Salary","Average %                     % of Cap At Sign","Signing Bonus","Guarantee                     at Sign","Practical                     Guarantee","2-Year                     Cash Total","3-Year                     Cash Total"
"Marvin Harrison","WR","IND                  IND","31","2004","2010","7","$67,000,000","$9,571,429","11.88%","$6,000,000","$30,000,000","$30,000,000","$16,000,000","$30,000,000"
"Randy Moss","WR","MIN                  MIN","23","2001","2008","8","$66,275,000","$8,284,375","12.29%","$10,000,000","$18,000,000","$18,000,000","$19,025,000","$24,025,000"
"Andre Johnson","WR","HOU                  HOU","25","2007","2014","8","$59,750,000","$7,468,750","6.85%","$6,850,000","","$15,000,000","$13,608,333","$20,216,666"
"Calvin Johnson","WR","DET                  DET","21","2007","2012","6","$55,500,000","$9,250,000","8.49%","$14,000,000","","$55,500,000","$23,044,875","$29,625,000"
"Javon Walker","WR","OAK                  OAK","29","2008","2013","6","$55,000,000","$9,166,667","7.90%","$11,000,000","$16,000,000","$16,000,000","$14,000,000","$16,600,000"
"Keyshawn Johnson","WR","TB                  TB","27","2000","2007","8","$53,500,000","$6,687,500","10.76%","$13,000,000","$15,000,000","$15,000,000","$14,000,000","$15,500,000"
"Larry Fitzgerald","WR","ARI                  ARI","20","2004","2009","6","$52,742,840","$8,790,473","10.91%","$7,500,000","$52,742,840","$52,742,840","$13,892,500","$17,210,000"
"Nate Burleson","WR","SEA                  SEA","24","2006","2009","7","$49,000,000","$7,000,000","6.86%","$4,000,000","","","$8,000,000","$11,250,000"
"Terrell Owens","WR","PHI                  PHI","30","2004","2010","7","$48,930,000","$6,990,000","8.67%","$2,300,000","$8,500,000","$8,500,000","$11,576,668","$19,846,668"
"David Boston","WR","SD                  SD","24","2003","2009","7","$47,400,000","$6,771,429","9.03%","$4,550,000","","","$10,682,647","$16,782,647"
"Roy Williams","WR","DAL                  DAL","27","2009","2013","5","$45,000,000","$9,000,000","7.32%","","","$19,500,000","$28,062,600","$28,062,600"
"Bernard Berrian","WR","MIN                  MIN","27","2008","2013","6","$43,400,000","$7,233,333","6.24%","$5,000,000","$8,000,000","$8,000,000","$19,200,000","$19,300,000"
"Steve Smith","WR","CAR                  CAR","27","2007","2012","6","$43,200,000","$7,200,000","6.61%","$9,300,000","","$9,300,000","$18,050,000","$23,450,000"
"Roddy White","WR","ATL                  ATL","27","2009","2014","6","$42,720,000","$7,120,000","5.79%","$6,000,000","","$18,600,000","$18,600,000","$27,900,000"
"Joey Galloway","WR","DAL                  DAL","28","2000","2006","7","$42,000,000","$6,000,000","9.65%","$12,500,000","","","$13,440,000","$14,835,000"
"Issac Bruce","WR","STL                  STL","27","2000","2006","7","$42,000,000","$6,000,000","9.65%","$11,500,000","","","$12,550,000","$15,300,000"
"Torry Holt","WR","STL                  STL","26","2003","2009","7","$42,000,000","$6,000,000","8.00%","$12,500,000","","$12,500,000","$13,565,000","$16,300,000"
"Rod Smith","WR","DEN                  DEN","31","2002","2008","7","$41,555,000","$5,936,429","8.35%","$11,000,000","","$11,000,000","$12,305,000","$15,055,000"
"Joe Horn","WR","NO                  NO","32","2005","2010","6","$40,000,000","$6,666,667","7.80%","$7,000,000","","","$12,000,000","$16,450,000"
"T.J. Houshmandzadeh","WR","SEA                  SEA","31","2009","2013","5","$40,000,000","$8,000,000","6.50%","$2,000,000","$14,500,000","$14,500,000","$14,500,000","$22,500,000"
"Javon Walker","WR","DEN                  DEN","28","2007","2011","5","$39,750,000","$7,950,000","7.29%","","","","$12,850,000","$17,050,000"
"Reggie Wayne","WR","IND                  IND","27","2006","2011","6","$39,500,000","$6,583,333","6.45%","$12,500,000","","","$18,480,000","$22,640,000"
"Charles Rogers","WR","DET                  DET","21","2003","2008","6","$39,400,000","$6,566,667","8.75%","$9,100,000","","","$3,077,082","$3,535,268"
"Deion Branch","WR","SEA                  SEA","26","2006","2011","6","$39,000,000","$6,500,000","6.37%","$7,000,000","","$13,000,000","$18,480,000","$21,980,000"
"Andre Johnson","WR","HOU                  HOU","21","2003","2008","6","$39,000,000","$6,500,000","8.67%","$9,000,000","$13,510,000","$13,510,000","$15,154,824","$16,459,648"
"Darrius Heyward-Bey","WR","OAK                  OAK","21","2009","2013","5","$38,250,000","$7,650,000","6.22%","","","$23,500,000","$15,965,000","$24,750,000"
"Eric Moulds","WR","BUF                  BUF","27","2001","2006","6","$37,489,000","$6,248,167","","$12,000,000","","$12,000,000","$14,150,000","$18,475,000"
