"Player","Pos","Team                     Signed With","Age                     At Signing","Start                     Year","End                     Year","Yrs","Value","Average                     Salary","Average %                     % of Cap At Sign","Signing Bonus","Guarantee                     at Sign","Practical                     Guarantee","2-Year                     Cash Total","3-Year                     Cash Total"
"Ndamukong Suh","DT","MIA                  MIA","27","2015","2020","6","$114,375,000","$19,062,500","13.30%","$25,500,000","$59,955,000","$77,955,000","$40,000,000","$60,000,000"
"Cam Newton","QB","CAR                  CAR","25","2015","2020","5","$103,800,000","$20,760,000","14.49%","$22,500,000","$41,000,000","$60,000,000","$44,000,000","$67,666,666"
"Justin Houston","DE","KC                  KC","25","2015","2020","6","$101,000,000","$16,833,333","11.75%","$20,500,000","$32,500,000","$52,500,000","$36,500,000","$53,000,000"
"Marcell Dareus","DT","BUF                  BUF","25","2015","2021","6","$96,574,118","$16,095,686","11.23%","$25,000,000","$42,900,000","$60,000,000","$38,467,646","$44,202,940"
"Gerald McCoy","DT","TB                  TB","26","2015","2021","6","$95,200,000","$15,866,667","11.07%","$2,500,000","$14,757,308","$51,500,000","$27,708,033","$40,208,033"
"Russell Wilson","QB","SEA                  SEA","26","2015","2019","4","$87,600,000","$21,900,000","15.28%","$31,000,000","$31,700,000","$61,542,000","$44,064,469","$56,664,469"
"Ben Roethlisberger","QB","PIT                  PIT","32","2015","2019","4","$87,400,000","$21,850,000","15.25%","$31,000,000","$31,000,000","$31,000,000","$53,007,482","$65,007,482"
"Eli Manning","QB","NYG                  NYG","33","2015","2019","4","$84,000,000","$21,000,000","14.66%","$31,000,000","$54,000,000","$67,000,000","$55,010,004","$68,510,004"
"Philip Rivers","QB","SD                  SD","33","2015","2019","4","$83,250,000","$20,812,500","14.53%","$22,500,000","$37,500,000","$65,000,000","$54,007,656","$68,007,656"
"Ryan Tannehill","QB","MIA                  MIA","26","2015","2020","4","$77,000,000","$19,250,000","13.44%","$11,500,000","$21,500,000","$45,000,000","$21,500,000","$39,500,000"
"Julio Jones","WR","ATL                  ATL","25","2015","2020","5","$71,256,045","$14,251,209","9.95%","$12,000,000","$35,500,000","$47,000,000","$35,510,829","$47,010,829"
"Darrelle Revis","CB","NYJ                  NYJ","29","2015","2019","5","$70,121,060","$14,024,212","9.79%","","$39,000,000","$39,000,000","$33,011,630","$49,011,630"
"Demaryius Thomas","WR","DEN                  DEN","27","2015","2019","5","$70,000,000","$14,000,000","9.77%","$11,000,000","$35,000,000","$43,500,000","$35,000,000","$47,500,000"
"Dez Bryant","WR","DAL                  DAL","26","2015","2019","5","$70,000,000","$14,000,000","9.77%","$20,000,000","$32,000,000","$45,000,000","$32,000,000","$45,000,000"
"Trent Williams","LT","WAS                  WAS","26","2015","2020","5","$68,000,000","$13,600,000","9.49%","$8,100,000","$30,000,000","$41,250,000","$30,021,297","$41,427,547"
"Joe Haden","CB","CLE                  CLE","25","2015","2019","5","$67,500,000","$13,500,000","9.42%","$16,000,000","$22,678,193","$45,078,193","$31,478,193","$41,678,193"
