"Player","Pos","Team                     Signed With","Age                     At Signing","Start                     Year","End                     Year","Yrs","Value","Average                     Salary","Average %                     % of Cap At Sign","Signing Bonus","Guarantee                     at Sign","Practical                     Guarantee","2-Year                     Cash Total","3-Year                     Cash Total"
"Matt Ryan","QB","ATL                  ATL","32","2018","2023","5","$150,000,000","$30,000,000","16.93%","$46,500,000","$94,500,000","$100,000,000","$74,014,610","$94,549,824"
"Khalil Mack","OLB","CHI                  CHI","26","2018","2024","6","$141,000,000","$23,500,000","13.26%","$34,000,000","$60,000,000","$90,000,000","$56,518,121","$73,738,544"
"Jimmy Garoppolo","QB","SF                  SF","26","2018","2022","5","$137,500,000","$27,500,000","15.52%","$7,000,000","$41,700,000","$74,100,000","$60,550,000","$85,250,000"
"Aaron Donald","DT","LAR                  LAR","26","2018","2024","6","$135,000,000","$22,500,000","12.70%","$40,000,000","$50,000,000","$86,892,000","$50,000,000","$67,020,228"
"Aaron Rodgers","QB","GB                  GB","34","2018","2023","4","$134,000,000","$33,500,000","18.91%","$57,500,000","$79,200,000","$98,700,000","$82,220,000","$103,798,775"
"Alex Smith","QB","WAS                  WAS","33","2018","2022","4","$94,000,000","$23,500,000","13.26%","$27,000,000","$55,000,000","$71,000,000","$55,000,000","$71,000,000"
"Odell Beckham, Jr.","WR","NYG                  NYG","25","2018","2023","5","$90,000,000","$18,000,000","10.16%","$20,000,000","$40,959,000","$65,000,000","$38,472,388","$52,737,057"
"Kirk Cousins","QB","MIN                  MIN","29","2018","2020","3","$84,000,000","$28,000,000","15.80%","$3,000,000","$84,000,000","$84,000,000","$54,000,000","$84,000,000"
"Zack Martin","G","DAL                  DAL","27","2018","2024","6","$84,000,000","$14,000,000","7.90%","$20,000,000","$32,000,000","$40,000,000","$32,020,956","$43,066,731"
"Mike Evans","WR","TB                  TB","24","2018","2023","5","$82,500,000","$16,500,000","9.31%","","$38,258,000","$55,008,000","$38,258,000","$55,008,000"
"Brandin Cooks","WR","LAR                  LAR","24","2018","2022","5","$81,000,000","$16,200,000","9.14%","$7,000,000","$20,459,000","$49,459,000","$38,459,000","$46,476,022"
"Taylor Lewan","LT","TEN                  TEN","26","2018","2023","5","$80,000,000","$16,000,000","9.03%","$11,000,000","$34,000,000","$50,000,000","$30,070,587","$46,070,587"
"Jarvis Landry","WR","CLE                  CLE","25","2018","2022","5","$75,500,000","$15,100,000","8.52%","$7,500,000","$34,000,000","$47,000,000","$34,066,078","$47,147,857"
"Trumaine Johnson","CB","NYJ                  NYJ","27","2018","2022","5","$72,500,000","$14,500,000","8.18%","$20,000,000","$34,000,000","$45,000,000","$34,000,000","$45,000,000"
"Jake Matthews","LT","ATL                  ATL","25","2018","2023","5","$72,500,000","$14,500,000","8.18%","$13,946,000","$34,946,000","$41,350,000","$34,981,224","$45,597,647"
"Stefon Diggs","WR","MIN                  MIN","24","2018","2023","5","$72,000,000","$14,400,000","8.13%","$15,000,000","$16,907,000","$40,007,000","$26,407,000","$41,238,050"
"Danielle Hunter","DE","MIN                  MIN","23","2018","2023","5","$72,000,000","$14,400,000","8.13%","$15,000,000","$16,907,000","$40,000,000","$27,907,000","$39,407,000"
"Andrew Norwell","G","JAX                  JAX","26","2018","2021","5","$66,500,000","$13,300,000","7.51%","$15,000,000","$30,000,000","$30,000,000","$30,000,000","$39,033,012"
"Geno Atkins","DT","CIN                  CIN","29","2018","2022","4","$65,200,000","$16,300,000","9.20%","$13,000,000","$17,000,000","$25,000,000","$37,512,291","$49,017,045"
"Nate Solder","LT","NYG                  NYG","29","2018","2021","4","$62,000,000","$15,500,000","8.75%","$16,000,000","$34,800,000","$34,800,000","$35,000,000","$38,100,000"
"Malcolm Butler","CB","TEN                  TEN","27","2018","2022","5","$61,250,000","$12,250,000","6.91%","$10,000,000","$24,000,000","$30,000,000","$24,881,250","$36,481,250"
"Todd Gurley","RB","LAR                  LAR","23","2018","2023","4","$57,500,000","$14,375,000","8.11%","$21,000,000","$21,950,000","$45,000,000","$26,950,000","$40,000,000"
"Kyle Fuller","CB","CHI                  CHI","25","2018","2021","4","$56,000,000","$14,000,000","7.90%","$18,000,000","$19,000,000","$19,000,000","$29,000,000","$42,000,000"
"Blake Bortles","QB","JAX                  JAX","25","2018","2020","3","$54,000,000","$18,000,000","10.16%","$15,000,000","$26,500,000","$26,500,000","$36,000,000","$54,000,000"
"Eric Kendricks","LB","MIN                  MIN","25","2018","2023","5","$50,000,000","$10,000,000","5.64%","$10,500,000","$11,638,080","$25,000,000","$16,122,455","$23,643,847"
"Benardrick McKinney","ILB","HOU                  HOU","25","2018","2021","5","$50,000,000","$10,000,000","5.64%","$3,750,000","$16,000,000","$21,000,000","$16,820,130","$23,030,070"
"Drew Brees","QB","NO                  NO","38","2018","2019","2","$50,000,000","$25,000,000","14.11%","$13,500,000","$20,700,000","$27,000,000","$50,000,000","$50,000,000"
"Star Lotulelei","DT","BUF                  BUF","28","2018","2022","5","$50,000,000","$10,000,000","5.64%","$13,000,000","$18,500,000","$24,650,000","$26,011,813","$31,761,813"
"Sammy Watkins","WR","KC                  KC","24","2018","2020","3","$48,000,000","$16,000,000","9.03%","$21,000,000","$30,000,000","$30,000,000","$34,000,000","$48,000,000"
"Weston Richburg","C","SF                  SF","26","2018","2022","5","$47,500,000","$9,500,000","5.36%","$9,300,000","$16,500,000","$28,500,000","$23,195,710","$31,197,183"
"Shaq Mason","G","NE                  NE","24","2018","2023","5","$45,000,000","$9,000,000","5.08%","$12,000,000","$21,907,000","$23,500,000","$17,719,500","$23,592,157"
"Anthony Hitchens","ILB","KC                  KC","25","2018","2022","5","$45,000,000","$9,000,000","5.08%","$14,000,000","$21,290,000","$21,290,000","$21,500,000","$29,997,357"
"Justin Pugh","G","ARI                  ARI","27","2018","2022","5","$44,775,000","$8,955,000","5.05%","$10,000,000","$13,000,000","$15,750,000","$17,029,866","$25,510,321"
