feature,coefficient
teamPrev2Games,2.1610702440428634e-4
teamPrev2Wins,1.701642465484047e-4
teamPrev2Losses,-1.2042213203487298e-4
teamPrev2Ties,-2.3858364389488874e-4
teamPrev2WinPct,1.470805120400351e-4
teamPrev2Attempts,-2.4496187191050736e-4
teamPrev2PassingYards,-8.071673649409456e-6
teamPrev2PassingTds,1.5738629665178427e-4
teamPrev2PassingEpa,-2.660072981308225e-4
teamPrev2PassingCpoe,1.7302048496453134e-4
teamPrev2Carries,-1.6106564490302638e-4
teamPrev2RushingYards,1.0972915055255613e-4
teamPrev2RushingEpa,1.4641907270280703e-4
teamPrev2PointsAgainst,5.4094189560090295e-5
teamPrev2Targets,2.486838979033335e-4
teamPrev2ReceivingYards,-6.445377603638746e-6
teamPrev2ReceivingTds,1.5672672050915997e-4
teamPrev2ReceivingAirYards,-8.067434906785526e-5
teamPrev2PassRate,5.895542309273665e-5
teamPrev2TeamPlays,-4.2754003683526527e-4
teamPrev2PassingYardsPerAttempt,2.821629871497878e-4
teamPrev2PassingYardsPerGame,4.432047006219166e-5
teamPrev2PassingTdsPerGame,1.5713957040645442e-4
teamPrev2PassingEpaPerGame,-2.2935660013459057e-4
teamPrev2ReceivingYardsPerTarget,-2.2431496553920152e-4
teamPrev2PassRateDiffLeague,1.1884578243821493e-4
teamPrev2PassingYardsPerGameDiffLeague,1.2926205252526714e-5
teamPrev2PassingEpaPerGameDiffLeague,-4.0274844782705894e-4
teamYearsAvailable,7.614550327103132e-4
teamWeightedGames,3.7987034418378535e-4
teamDeltaGames,6.704843660014651e-4
teamWeightedWins,9.531176128920574e-5
teamDeltaWins,-3.7667378574555836e-5
teamWeightedLosses,-1.2204147605745323e-4
teamDeltaLosses,9.175974677563792e-5
teamWeightedTies,9.488205671581586e-5
teamDeltaTies,-6.622829391706755e-5
teamWeightedWinPct,5.9742853501827324e-5
teamDeltaWinPct,-9.44648188855854e-5
teamWeightedAttempts,-3.542817996931502e-5
teamDeltaAttempts,-4.8620193603303885e-05
teamWeightedPassingYards,5.6993942124756465e-5
teamDeltaPassingYards,3.8095205681308974e-5
teamWeightedPassingTds,3.812638944075788e-5
teamDeltaPassingTds,5.7016922232310475e-5
