penalty,.metric,.estimator,mean,n,std_err,.config
0.008886238162743398,mn_log_loss,multiclass,0.832473724169495,5,0.022121365260662475,pre0_mod24_post0
0.006614740641230145,mn_log_loss,multiclass,0.8330479502275884,5,0.021578390711921927,pre0_mod23_post0
0.0049238826317067365,mn_log_loss,multiclass,0.8380281970811901,5,0.02129431762802807,pre0_mod22_post0
0.011937766417144358,mn_log_loss,multiclass,0.8381494021323123,5,0.023454608032001358,pre0_mod25_post0
0.003665241237079626,mn_log_loss,multiclass,0.8483395899472409,5,0.022065593990507153,pre0_mod21_post0
0.016037187437513294,mn_log_loss,multiclass,0.8511222739808572,5,0.025350459794143076,pre0_mod26_post0
0.0027283333764867666,mn_log_loss,multiclass,0.8654513128423093,5,0.023323294101974864,pre0_mod20_post0
0.021544346900318822,mn_log_loss,multiclass,0.8696322504047188,5,0.02853395652739502,pre0_mod27_post0
0.002030917620904735,mn_log_loss,multiclass,0.8907560502750785,5,0.024126573703772625,pre0_mod19_post0
0.02894266124716749,mn_log_loss,multiclass,0.8975364771402474,5,0.035647072911056746,pre0_mod28_post0
0.0015117750706156615,mn_log_loss,multiclass,0.92639319745733,5,0.025221078043337775,pre0_mod18_post0
0.03888155180308085,mn_log_loss,multiclass,0.9312739259529081,5,0.03923814757574319,pre0_mod29_post0
0.05223345074266838,mn_log_loss,multiclass,0.9705058791530772,5,0.04093767774567399,pre0_mod30_post0
0.0011253355826007646,mn_log_loss,multiclass,0.9761244675011751,5,0.025622262503636518,pre0_mod17_post0
0.07017038286703822,mn_log_loss,multiclass,1.0208964121552015,5,0.04634621653567915,pre0_mod31_post0
8.376776400682916e-4,mn_log_loss,multiclass,1.0439899300171673,5,0.028432943272399563,pre0_mod16_post0
0.09426684551178845,mn_log_loss,multiclass,1.0691686781751955,5,0.05729824887273359,pre0_mod32_post0
0.1266380173467402,mn_log_loss,multiclass,1.1014417506542382,5,0.053502486648783085,pre0_mod33_post0
0.17012542798525856,mn_log_loss,multiclass,1.1201226204242851,5,0.05006915104304594,pre0_mod34_post0
0.22854638641349884,mn_log_loss,multiclass,1.1260316706908495,5,0.04849725371442095,pre0_mod35_post0
0.30702906297578497,mn_log_loss,multiclass,1.1260316706908495,5,0.04849725371442095,pre0_mod36_post0
0.4124626382901348,mn_log_loss,multiclass,1.1260316706908495,5,0.04849725371442095,pre0_mod37_post0
0.5541020330009481,mn_log_loss,multiclass,1.1260316706908495,5,0.04849725371442095,pre0_mod38_post0
0.7443803013251681,mn_log_loss,multiclass,1.1260316706908495,5,0.04849725371442095,pre0_mod39_post0
1,mn_log_loss,multiclass,1.1260316706908495,5,0.04849725371442095,pre0_mod40_post0
6.235507341273912e-4,mn_log_loss,multiclass,1.1339260016892763,5,0.03634536048450767,pre0_mod15_post0
4.6415888336127773e-4,mn_log_loss,multiclass,1.2451344807256859,5,0.047843927866316166,pre0_mod14_post0
3.455107294592218e-4,mn_log_loss,multiclass,1.3853790110880768,5,0.06218702420152585,pre0_mod13_post0
2.5719138090593444e-4,mn_log_loss,multiclass,1.549150847569274,5,0.07707371669193254,pre0_mod12_post0
1.9144819761699575e-4,mn_log_loss,multiclass,1.737818173070025,5,0.09053708238271137,pre0_mod11_post0
1.4251026703029977e-4,mn_log_loss,multiclass,1.9582339032709668,5,0.10341452456023806,pre0_mod10_post0
1.0608183551394483e-4,mn_log_loss,multiclass,2.2182194359112515,5,0.12116088418866898,pre0_mod09_post0
7.896522868499733e-5,mn_log_loss,multiclass,2.508061693448568,5,0.13531116823175016,pre0_mod08_post0
5.878016072274912e-5,mn_log_loss,multiclass,2.8173618044945687,5,0.15078766320937045,pre0_mod07_post0
4.37547937507418e-5,mn_log_loss,multiclass,3.1100589599894137,5,0.16383611802944253,pre0_mod06_post0
3.257020655659783e-5,mn_log_loss,multiclass,3.3397246405416965,5,0.17464225988684248,pre0_mod05_post0
2.424462017082331e-5,mn_log_loss,multiclass,3.5596250255714836,5,0.20194263195677578,pre0_mod04_post0
1.80472176682717e-5,mn_log_loss,multiclass,3.739635457258345,5,0.23806820646630217,pre0_mod03_post0
1e-5,mn_log_loss,multiclass,3.7399984765469396,5,0.237948103810361,pre0_mod01_post0
1.3433993325988988e-5,mn_log_loss,multiclass,3.7399984765469396,5,0.237948103810361,pre0_mod02_post0
