penalty,.metric,.estimator,mean,n,std_err,.config
0.0027283333764867666,rmse,standard,0.010295096984308933,5,5.650626501079606e-4,pre0_mod20_post0
0.003665241237079626,rmse,standard,0.010297706004687516,5,5.440073021530305e-4,pre0_mod21_post0
0.002030917620904735,rmse,standard,0.010316420494721644,5,5.807603497912998e-4,pre0_mod19_post0
0.0049238826317067365,rmse,standard,0.010317763201128694,5,5.233477275483449e-4,pre0_mod22_post0
1e-5,rmse,standard,0.010349542668231196,5,5.856147154269114e-4,pre0_mod01_post0
1.3433993325988988e-5,rmse,standard,0.010349542668231196,5,5.856147154269114e-4,pre0_mod02_post0
1.80472176682717e-5,rmse,standard,0.010349542668231196,5,5.856147154269114e-4,pre0_mod03_post0
2.424462017082331e-5,rmse,standard,0.010349542668231196,5,5.856147154269114e-4,pre0_mod04_post0
3.257020655659783e-5,rmse,standard,0.010349542668231196,5,5.856147154269114e-4,pre0_mod05_post0
4.37547937507418e-5,rmse,standard,0.010349542668231196,5,5.856147154269114e-4,pre0_mod06_post0
5.878016072274912e-5,rmse,standard,0.010349542668231196,5,5.856147154269114e-4,pre0_mod07_post0
7.896522868499733e-5,rmse,standard,0.010349542668231196,5,5.856147154269114e-4,pre0_mod08_post0
1.0608183551394483e-4,rmse,standard,0.010349542668231196,5,5.856147154269114e-4,pre0_mod09_post0
1.4251026703029977e-4,rmse,standard,0.010349542668231196,5,5.856147154269114e-4,pre0_mod10_post0
1.9144819761699575e-4,rmse,standard,0.010349542668231196,5,5.856147154269114e-4,pre0_mod11_post0
2.5719138090593444e-4,rmse,standard,0.010349542668231196,5,5.856147154269114e-4,pre0_mod12_post0
3.455107294592218e-4,rmse,standard,0.010349542668231196,5,5.856147154269114e-4,pre0_mod13_post0
4.6415888336127773e-4,rmse,standard,0.010349542668231196,5,5.856147154269114e-4,pre0_mod14_post0
6.235507341273912e-4,rmse,standard,0.010349542668231196,5,5.856147154269114e-4,pre0_mod15_post0
8.376776400682916e-4,rmse,standard,0.010349542668231196,5,5.856147154269114e-4,pre0_mod16_post0
0.0011253355826007646,rmse,standard,0.010349542668231196,5,5.856147154269114e-4,pre0_mod17_post0
0.0015117750706156615,rmse,standard,0.010349542668231196,5,5.856147154269114e-4,pre0_mod18_post0
0.006614740641230145,rmse,standard,0.0103523816804435,5,5.080061696862993e-4,pre0_mod23_post0
0.008886238162743398,rmse,standard,0.01039677624581326,5,5.006035373276882e-4,pre0_mod24_post0
0.011937766417144358,rmse,standard,0.010448894668655145,5,5.018231214411124e-4,pre0_mod25_post0
0.016037187437513294,rmse,standard,0.010507513678287748,5,5.105841275024984e-4,pre0_mod26_post0
0.021544346900318822,rmse,standard,0.010573179135060609,5,5.233146352241284e-4,pre0_mod27_post0
0.02894266124716749,rmse,standard,0.010646891408845857,5,5.371068241474146e-4,pre0_mod28_post0
0.03888155180308085,rmse,standard,0.010730577744698645,5,5.495963659870003e-4,pre0_mod29_post0
0.05223345074266838,rmse,standard,0.010826962330075306,5,5.596924323717146e-4,pre0_mod30_post0
0.07017038286703822,rmse,standard,0.010939949871054441,5,5.679294320680652e-4,pre0_mod31_post0
0.09426684551178845,rmse,standard,0.011074499324717598,5,5.763223482354206e-4,pre0_mod32_post0
0.1266380173467402,rmse,standard,0.011237013558913407,5,5.881241462490692e-4,pre0_mod33_post0
0.17012542798525856,rmse,standard,0.011436045669195892,5,6.073297861582842e-4,pre0_mod34_post0
0.22854638641349884,rmse,standard,0.01168296668018682,5,6.37659530563476e-4,pre0_mod35_post0
0.30702906297578497,rmse,standard,0.011991476390152616,5,6.810814670623103e-4,pre0_mod36_post0
0.4124626382901348,rmse,standard,0.012375508252480233,5,7.373681253704566e-4,pre0_mod37_post0
0.5541020330009481,rmse,standard,0.012848148759811766,5,8.035198708610604e-4,pre0_mod38_post0
0.7443803013251681,rmse,standard,0.013418096333560855,5,8.750768891455443e-4,pre0_mod39_post0
1,rmse,standard,0.014082734219702072,5,9.470000960732737e-4,pre0_mod40_post0
