modelId,modelFamily,engine,package,status,predictorCount,trainRows,validateRows,fitSeconds,predictSeconds,mnLogLoss,rocAuc,brier,accuracy,mse,rmse,mae,rsq,notes,task,tuningMethod,selectionRule,primaryMetric,cvMetricMean,cvMetricStdErr,foldCount,initialSize,bayesIter,gridSize,mtry,trees,min_n,tree_depth,learn_rate,loss_reduction,sample_size,.config,lambda
aavPerc_xgb,boosted_tree,xgboost,xgboost,ok,504,2795,91,1.1730000000000018,0.09399999999999407,NA,NA,NA,NA,3.196465890436286e-5,0.00565372964549622,0.0026154015614518,0.9028975605911096,NA,aavPerc,bayes,best,rmse,0.00967159635406968,9.251419253340632e-4,5,12,18,NA,57,473,2,3,0.07886125519530196,1.0451972352612272e-5,0.772218185789953,iter08,NA
aavPerc_rf,random_forest,ranger,ranger,ok,504,2795,91,71.45200000000023,0.10599999999976716,NA,NA,NA,NA,3.709111015385582e-5,0.00609024713405423,0.00306207229327863,0.8796098046024642,NA,aavPerc,bayes,best,rmse,0.01054608815337065,8.850028870840244e-4,5,10,15,NA,150,942,2,NA,NA,NA,NA,iter04,NA
aavPerc_rl,ridge_linear,glmnet,glmnet,ok,504,2795,91,0.5890000000000022,0.16499999999999915,NA,NA,NA,NA,3.699164207786112e-5,0.0060820754745285,0.00388979313768768,0.883439939245448,NA,aavPerc,cv_grid,best,rmse,0.01049357980298529,2.9543747931284106e-4,5,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,pre0_mod22_post0,0.00492388263170673
