contractRowId,playerName,playerKey,playerId,pfrId,pairId,termModelId,aavModelId,ageAtSigning,yearsExpAtSigning,prevSignedTeam,expectedTerm,modalTerm,modalTermProb,expectedAavPerc,expectedAav,modalAavPerc,modalAav,impliedCap2026,predictedTerm,.pred_1,.pred_2,.pred_3,.pred_4,.pred_5,prevContractTerm,prevContractAav,prevContractAavPerc,regWeightedTargets,regWeightedReceptions,regWeightedReceivingYards,regWeightedReceivingTds,regWeightedTargetShare,snapWeightedOffensePctMean,ngsWeightedYardsPerTarget,marketPrev1MedianAavPerc,prevContractAavMillions,expectedAavMillions,modalAavMillions
5512,Jauan Jennings,jauan jennings,00-0036259,JennJa00,glm_pair,term_ll_final,aavPerc_rl_final,28,6,SF,1.5800195214933774,1,0.7140196647758735,0.04649761304361789,14023089.648075238,0.044345293519057104,13373977.410509286,301587301.5873016,1,0.7140196647758735,0.10082629366263793,0.09971240763270309,0.061998123149808605,0.023443510778976877,2,5945000,0.02329999999999999,97.66666666666669,62.333333333333336,753.6666666666666,8,0.182515210585386,0.7951111111111112,7.639069157653229,0.0042,5.945,14.023089648075239,13.373977410509287
5481,Deebo Samuel,deebo samuel,NA,NA,glm_pair,term_ll_final,aavPerc_rl_final,30,NA,WAS,1.3088115652516783,1,0.8342920338576858,0.0456347227489675,13762852.892545756,0.04478830050762551,13507582.692775948,301587301.5873016,1,0.8342920338576858,0.02887709492741392,0.1314028284633431,0.004583357608650633,8.446851429065822e-4,1,17545529,0.06280000000000001,NA,NA,NA,NA,NA,0.7254444444444444,7.652824541713431,0.0042,17.545529,13.762852892545755,13.507582692775948
5536,Keenan Allen,keenan allen,00-0030279,AlleKe00,glm_pair,term_ll_final,aavPerc_rl_final,33,13,LAC,1.3991573932967645,1,0.8212241805187129,0.04300933369564454,12971068.892337242,0.04144655728992289,12499755.373151349,301587301.5873016,1,0.8212241805187129,0.03972438383918072,0.07658268412043291,0.043607364869976156,0.018861386651697336,1,3020000,0.0108,121.66666666666669,77.33333333333333,766,5,0.2261891448594647,0.6591372549019607,6.295488416203766,0.0042,3.02,12.971068892337243,12.499755373151348
5470,D'Wayne Eskridge,d wayne eskridge,NA,NA,glm_pair,term_ll_final,aavPerc_rl_final,28,NA,MIA,1.4607506003459372,1,0.7280672423705719,0.017771425983909555,5359636.40784574,0.016545296104433147,4989851.206098886,301587301.5873016,1,0.7280672423705719,0.09927126487167662,0.15869300544034404,0.011780624676057208,0.0021878626413502065,1,1270000,0.0045,NA,NA,NA,NA,NA,0.11175213675213676,NA,0.0042,1.27,5.35963640784574,4.989851206098886
5496,Gabriel Davis,gabriel davis,NA,NA,glm_pair,term_ll_final,aavPerc_rl_final,27,NA,BUF,1.3282065036020883,1,0.8209718343604832,0.016208437723974674,4888258.996119347,0.015301886290861858,4614854.595656751,301587301.5873016,1,0.8209718343604832,0.03962448893731234,0.13126066666058914,0.006511358822863539,0.00163165121875176,1,1170000,0.0042,NA,NA,NA,NA,NA,0.6197777777777778,NA,0.0042,1.17,4.8882589961193474,4.614854595656751
5507,Jalen Moreno-Cropper,jalen moreno cropper,NA,NA,glm_pair,term_ll_final,aavPerc_rl_final,25,NA,DAL,1.5600278201659576,1,0.6984063435324125,0.015574035118435423,4696931.226194809,0.014023750051986228,4229384.936313307,301587301.5873016,1,0.6984063435324125,0.0582056297338756,0.23068886422325358,0.010352188056258935,0.002346974454199521,3,901667,0.004,NA,NA,NA,NA,NA,0.09555555555555556,NA,0.0042,0.901667,4.696931226194809,4.2293849363133065
5480,DeAndre Hopkins,deandre hopkins,00-0030564,HopkDe00,glm_pair,term_ll_final,aavPerc_rl_final,33,13,BAL,1.1006327218745167,1,0.9415070690479145,0.014263852449817396,4301796.770579848,0.013941415171903743,4204553.782002716,301587301.5873016,1,0.9415070690479145,0.029970342589070217,0.017200395161713008,0.009027183843189061,0.0022950093581133,1,5000000,0.0179,52.666666666666664,33.333333333333336,423.3333333333333,3,0.11647903955596264,0.3833333333333333,7.725,0.0042,5,4.301796770579848,4.204553782002717
5444,Adam Thielen,adam thielen,00-0030035,ThieAd00,glm_pair,term_ll_final,aavPerc_rl_final,35,13,CAR,1.0313018056876835,1,0.9794710728093987,0.013850325365826338,4177082.2531857216,0.013761789726732284,4150381.028697038,301587301.5873016,1,0.9794710728093987,0.01310902412698353,0.004746208344320591,0.001994414005129752,6.792807141674068e-4,3,8333333,0.0371,44,28.666666666666668,329,1.6666666666666667,0.08975458975458976,0.4989166666666667,9.919354838709678,0.0042,8.333333,4.177082253185722,4.150381028697038
5591,Tim Patrick,tim patrick,00-0033375,PatrTi00,glm_pair,term_ll_final,aavPerc_rl_final,32,9,DET,1.0639327753065964,1,0.955304555769384,0.009878554471449946,2979246.586627761,0.00971440607631173,2929741.515078141,301587301.5873016,1,0.955304555769384,0.030573968932279753,0.009945256825885344,0.0032365811672566834,9.396373051940577e-4,1,2500000,0.009,30.666666666666668,21,256,3,0.05734751961821242,0.40895833333333337,NA,0.0042,2.5,2.979246586627761,2.929741515078141
5541,Kristian Wilkerson,kristian wilkerson,00-0036183,WilkKr00,glm_pair,term_ll_final,aavPerc_rl_final,29,6,BUF,1.0594644564931346,1,0.9540654080877959,0.009721357828066934,2931838.0751312985,0.009588942121436121,2891903.179480735,301587301.5873016,1,0.9540654080877959,0.035750872917323345,0.007513297076167228,0.0019946982513765078,6.757236673368539e-4,1,1100000,0.0039,3,2,18,1,0.00506756756756756,0.22,NA,0.0042,1.1,2.9318380751312985,2.8919031794807353
