contractRowId,playerName,playerKey,playerId,pfrId,pairId,termModelId,aavModelId,ageAtSigning,yearsExpAtSigning,prevSignedTeam,expectedTerm,modalTerm,modalTermProb,expectedAavPerc,expectedAav,modalAavPerc,modalAav,impliedCap2026,predictedTerm,.pred_1,.pred_2,.pred_3,.pred_4,.pred_5,prevContractTerm,prevContractAav,prevContractAavPerc,regWeightedTargets,regWeightedReceptions,regWeightedReceivingYards,regWeightedReceivingTds,regWeightedTargetShare,snapWeightedOffensePctMean,ngsWeightedYardsPerTarget,marketPrev1MedianAavPerc,prevContractAavMillions,expectedAavMillions,modalAavMillions
5481,Deebo Samuel,deebo samuel,NA,NA,xgb_pair,term_xgb_final,aavPerc_xgb_final,30,NA,WAS,1.663533834158443,1,0.6391770839691162,0.038190109451344705,11517652.056754753,0.033675260841846466,10156031.047540998,301587301.5873016,1,0.6391770839691162,0.07621900737285614,0.26835134625434875,0.01439811009913683,0.0018544512568041682,1,17545529,0.06280000000000001,NA,NA,NA,NA,NA,0.7254444444444444,7.652824541713431,0.0042,17.545529,11.517652056754754,10.156031047540997
5512,Jauan Jennings,jauan jennings,00-0036259,JennJa00,xgb_pair,term_xgb_final,aavPerc_xgb_final,28,6,SF,1.705970123410225,1,0.6225191950798035,0.03474666074320926,10479151.652713902,0.03002118691802025,9054008.753053727,301587301.5873016,1,0.6225191950798035,0.14101386070251465,0.16759902238845825,0.045713357627391815,0.023154541850090027,2,5945000,0.02329999999999999,97.66666666666669,62.333333333333336,753.6666666666666,8,0.182515210585386,0.7951111111111112,7.639069157653229,0.0042,5.945,10.479151652713902,9.054008753053727
5536,Keenan Allen,keenan allen,00-0030279,AlleKe00,xgb_pair,term_xgb_final,aavPerc_xgb_final,33,13,LAC,1.846649695187807,1,0.5714312195777893,0.03419626556745392,10313159.456851183,0.02896096743643284,8734260.020511491,301587301.5873016,1,0.5714312195777893,0.14001013338565826,0.18650513887405396,0.0745847299695015,0.02746877446770668,1,3020000,0.0108,121.66666666666669,77.33333333333333,766,5,0.2261891448594647,0.6591372549019607,6.295488416203766,0.0042,3.02,10.313159456851183,8.734260020511492
5582,Sterling Shepard,sterling shepard,00-0032385,ShepSt00,xgb_pair,term_xgb_final,aavPerc_xgb_final,33,10,TB,1.338278314564377,1,0.7738870978355408,0.015230110438066692,4593207.90989313,0.013887886889278889,4188410.331687284,301587301.5873016,1,0.7738870978355408,0.144929900765419,0.05522790551185608,0.020927736535668373,0.005027350503951311,1,1750000,0.0063,52.333333333333336,36.666666666666664,358.6666666666667,1,0.09550653407007832,0.551978021978022,6.849673202614379,0.0042,1.75,4.59320790989313,4.188410331687284
5480,DeAndre Hopkins,deandre hopkins,00-0030564,HopkDe00,xgb_pair,term_xgb_final,aavPerc_xgb_final,33,13,BAL,1.1492434574756771,1,0.9037455916404724,0.014704383575599764,4434655.36406977,0.013886462897062302,4187980.8737172023,301587301.5873016,1,0.9037455916404724,0.05943284183740616,0.024078411981463432,0.009318818338215351,0.0034243345726281404,1,5000000,0.0179,52.666666666666664,33.333333333333336,423.3333333333333,3,0.11647903955596264,0.3833333333333333,7.725,0.0042,5,4.43465536406977,4.187980873717202
5444,Adam Thielen,adam thielen,00-0030035,ThieAd00,xgb_pair,term_xgb_final,aavPerc_xgb_final,35,13,CAR,1.0894294972531497,1,0.9365358948707581,0.014439040961022607,4354631.400943327,0.013986213132739067,4218064.278127655,301587301.5873016,1,0.9365358948707581,0.04390523582696915,0.014878741465508938,0.0029536921065300703,0.0017264275811612606,3,8333333,0.0371,44,28.666666666666668,329,1.6666666666666667,0.08975458975458976,0.4989166666666667,9.919354838709678,0.0042,8.333333,4.354631400943327,4.218064278127655
5522,Josh Reynolds,josh reynolds,00-0033943,ReynJo00,xgb_pair,term_xgb_final,aavPerc_xgb_final,31,9,NYJ,1.0544269544770941,1,0.9597665071487427,0.013460895608586617,4059635.183541996,0.01328338123857975,4006099.103698655,301587301.5873016,1,0.9597665071487427,0.030728669837117195,0.006061299238353968,0.002198424655944109,0.0012451022630557418,1,2750000,0.0098,22,11.666666666666666,132,0.3333333333333333,0.04423296594733105,0.7357777777777778,NA,0.0042,2.75,4.059635183541996,4.006099103698655
5569,Ray-Ray McCloud,ray ray mccloud,00-0034407,McClRa00,xgb_pair,term_xgb_final,aavPerc_xgb_final,29,8,ATL,1.1327146828407422,1,0.9038937091827393,0.010166998625686145,3066237.6807624884,0.009614108130335808,2899492.9281965136,301587301.5873016,1,0.9038937091827393,0.06737885624170303,0.02210591733455658,0.0053621334955096245,0.0012593950377777219,2,2500000,0.0098,39,25.333333333333332,274.6666666666667,0.3333333333333333,0.07307116225365606,0.6370588235294118,7.885057471264368,0.0042,2.5,3.0662376807624883,2.8994929281965134
5496,Gabriel Davis,gabriel davis,NA,NA,xgb_pair,term_xgb_final,aavPerc_xgb_final,27,NA,BUF,1.204852414317429,1,0.8775562644004822,0.008911317165066046,2687540.0974008716,0.007836728356778622,2363457.7583935526,301587301.5873016,1,0.8775562644004822,0.053509049117565155,0.0572984516620636,0.009798412211239338,0.001837809570133686,1,1170000,0.0042,NA,NA,NA,NA,NA,0.6197777777777778,NA,0.0042,1.17,2.6875400974008716,2.3634577583935528
5493,Elijah Moore,elijah moore,00-0036980,MoorEl00,xgb_pair,term_xgb_final,aavPerc_xgb_final,25,5,BUF,1.0948434930760413,1,0.9432007670402527,0.008849632428212462,2668936.7640640754,0.008311123587191105,2506529.3358195396,301587301.5873016,1,0.9432007670402527,0.03058880940079689,0.016383228823542595,0.007820493541657925,0.0020066893193870783,1,2500000,0.009,45.333333333333336,26.333333333333332,254,0.3333333333333333,0.07728816387101589,0.4619825708061002,5.2745098039215685,0.0042,2.5,2.6689367640640755,2.5065293358195397
