contractRowId,playerName,playerKey,playerId,pfrId,ageAtSigning,yearsExpAtSigning,prevSignedTeam,.pred_1,.pred_2,.pred_3,.pred_4,.pred_5,predictedTerm,expectedTerm
5444,Adam Thielen,adam thielen,00-0030035,ThieAd00,35,13,CAR,0.9365358948707581,0.04390523582696915,0.014878741465508938,0.0029536921065300703,0.0017264275811612606,1,1.0894294972531497
5445,Ajou Ajou,ajou ajou,00-0039957,NA,24,1,IND,0.748888373374939,0.10963865369558334,0.1363103985786438,0.003573586232960224,0.001589019550010562,1,1.3993363191839308
5446,Alex Bachman,alex bachman,00-0035602,BachAl00,29,7,LV,0.9434612393379211,0.049568209797143936,0.004331533331423998,0.001903587719425559,7.354269037023187e-4,1,1.0668837443226948
5447,Anthony Miller,anthony miller,00-0034353,MillAn02,31,8,BAL,0.9461947679519653,0.045258328318595886,0.004594834987074137,0.0017790955025702715,0.002172985579818487,1,1.068477239459753
5448,Aron Cruickshank,aron cruickshank,00-0038422,NA,25,3,CHI,0.8311658501625061,0.09774547815322876,0.06477820873260498,0.004828847479075193,0.0014815768226981163,1,1.24771470669657
5449,Austin Mack,austin mack,00-0035869,MackAu01,28,6,ATL,0.8829862475395203,0.09366685152053833,0.019031982868909836,0.0028849926311522722,0.0014299165923148394,1,1.1461054526735097
5450,Austin Watkins,austin watkins,NA,NA,27,NA,PHI,0.819785475730896,0.09713125973939896,0.07754623144865036,0.004063770174980164,0.0014732717536389828,1,1.2703081290237606
5451,Avery Davis,avery davis,00-0039186,NA,NA,3,DET,0.8402348160743713,0.09267017990350723,0.06116969883441925,0.0045111170038580894,0.001414148835465312,1,1.2341994845774025
5452,Bo Melton,bo melton,00-0037091,MeltBo00,26,4,GB,0.7231828570365906,0.24012456834316254,0.023376217111945152,0.010494117625057697,0.002822275273501873,1,1.3296484919264913
5453,Brandon Johnson,brandon johnson,00-0037382,JohnBr23,27,4,PIT,0.8627498149871826,0.12429714947938919,0.007205413654446602,0.0042404779233038425,0.0015071682864800096,1,1.1574581080349162
5454,Braxton Berrios,braxton berrios,00-0034419,BerrBr00,30,8,HOU,0.9210754632949829,0.06825941801071167,0.006789812818169594,0.0027341607492417097,0.0011411936720833182,1,1.0946063491282985
5455,Braxton Burmeister,braxton burmeister,NA,NA,27,NA,LA,0.7698038816452026,0.09924916923046112,0.12254045158624649,0.006733485963195562,0.0016730716452002525,1,1.3712228769436479
5456,Braxton Westfield,braxton westfield,NA,NA,NA,NA,IND,0.7623803019523621,0.10036211460828781,0.12874586880207062,0.006819895468652248,0.0016918331384658813,1,1.385080885142088
5457,Braydon Johnson,braydon johnson,NA,NA,NA,NA,BUF,0.7612513303756714,0.1007438376545906,0.12946078181266785,0.006845836993306875,0.0016982685774564743,1,1.386996041983366
5458,Braylon Sanders,braylon sanders,00-0037355,SandBr00,27,4,WAS,0.8742737770080566,0.10011470317840576,0.021986566483974457,0.0022087169345468283,0.0014162147417664528,1,1.1563788242638111
5459,Brian Cobbs,brian cobbs,00-0039011,NA,26,3,ARI,0.8062864542007446,0.09579571336507797,0.09162052720785141,0.004789359401911497,0.0015079632867127657,1,1.2994367165956646
5460,Bryan Thompson,bryan thompson,00-0038680,ThomBr05,26,3,BUF,0.8267017006874084,0.09795845299959183,0.07000003755092621,0.003816802753135562,0.001523064449429512,1,1.2555012525990605
5461,Bryce Ford-Wheaton,bryce ford wheaton,00-0038477,FordBr00,26,3,NYG,0.8929507732391357,0.08640297502279282,0.016701363027095795,0.002737291855737567,0.0012075810227543116,1,1.1328478849027306
5462,C.J. Johnson,c j johnson,NA,NA,NA,NA,SEA,0.7623803019523621,0.10036211460828781,0.12874586880207062,0.006819895468652248,0.0016918331384658813,1,1.385080885142088
5463,Cedrick Wilson,cedrick wilson,00-0020452,WilsCe00,47,25,MIA,0.8718381524085999,0.07520955801010132,0.04567614942789078,0.005861494690179825,0.0014146592002362013,1,1.1898049914743751
5464,Chase Cota,chase cota,00-0038651,CotaCh00,26,3,CLE,0.8647863268852234,0.11158521473407745,0.019858308136463165,0.002322838641703129,0.0014472799375653267,1,1.164059435017407
5465,Chris Coleman,chris coleman,00-0019038,ColeCh01,48,26,MIA,0.832690417766571,0.08662299066781998,0.0738694965839386,0.005108942743390799,0.0017081386176869273,1,1.2565213529160246
5466,Chris Moore,chris moore,00-0032398,MoorCh00,32,10,WAS,0.920868456363678,0.06438403576612473,0.009379694238305092,0.003688665572553873,0.0016791720408946276,1,1.1009261331055313
5467,Cody Chrest,cody chrest,00-0038430,NA,NA,3,IND,0.839799702167511,0.09283960610628128,0.06136592477560043,0.004575970117002726,0.0014188333880156279,1,1.2349747361149639
5468,Collin Johnson,collin johnson,00-0036254,JohnCo01,28,6,LV,0.9314264059066772,0.06152426078915596,0.004375561140477657,0.0017824871465563774,8.912435732781887e-4,1,1.0791877773590386
5469,Cornell Powell,cornell powell,00-0036647,PoweCo00,28,5,HOU,0.8842530250549316,0.09071800857782364,0.021453097462654114,0.0022154126781970263,0.0013604642590507865,1,1.1457123066065833
5470,D'Wayne Eskridge,d wayne eskridge,NA,NA,28,NA,MIA,0.8673667907714844,0.07948677241802216,0.0394236296415329,0.012103712186217308,0.0016191235044971108,1,1.2011216907994822
5471,Dallas Daniels,dallas daniels,NA,NA,NA,NA,DEN,0.7623803019523621,0.10036211460828781,0.12874586880207062,0.006819895468652248,0.0016918331384658813,1,1.385080885142088
5472,Daniel Arias,daniel arias,00-0038702,AriaDa00,27,3,ARI,0.8410074710845947,0.09406742453575134,0.060485269874334335,0.0030063153244554996,0.001433562021702528,1,1.229791201185435
5473,Dante Pettis,dante pettis,00-0034860,PettDa00,30,8,NO,0.9324464201927185,0.056386642158031464,0.0066404081881046295,0.003485171590000391,0.0010413664858788252,1,1.084288447862491
5474,David Bell,david bell,00-0037257,BellDa02,25,4,CLE,0.9326250553131104,0.053800322115421295,0.009306707419455051,0.002272193320095539,0.0019957199692726135,1,1.0872131949290633
5475,David Durden,david durden,00-0038734,DurdDa00,27,3,DAL,0.8495263457298279,0.07614335417747498,0.06967577338218689,0.003146963659673929,0.0015075512928888202,1,1.2309659853344783
5476,David Sills,david sills,00-0035359,SillDa01,30,7,ATL,0.9085999131202698,0.07810904830694199,0.009894016198813915,0.002250912133604288,0.0011460541281849146,1,1.1092339775059372
5477,David White Jr,david white jr,00-0039562,WhitDa06,25,2,BUF,0.8611564040184021,0.11457232385873795,0.02012990415096283,0.002675710478797555,0.0014656734419986606,1,1.16872197331395
5478,Dax Milne,dax milne,00-0036671,MilnDa00,26,5,CAR,0.8807850480079651,0.09330856800079346,0.022190246731042862,0.0022449104581028223,0.0014712095726281404,1,1.1503086138982326
5479,Deandre Carter,deandre carter,00-0031763,CartDe02,32,11,CLE,0.9457268118858337,0.04378302022814751,0.0067254528403282166,0.0028721466660499573,8.926013251766562e-4,1,1.0694208041531965
5480,DeAndre Hopkins,deandre hopkins,00-0030564,HopkDe00,33,13,BAL,0.9037455916404724,0.05943284183740616,0.024078411981463432,0.009318818338215351,0.0034243345726281404,1,1.1492434574756771
