contractRowId,playerName,playerKey,playerId,pfrId,ageAtSigning,yearsExpAtSigning,prevSignedTeam,prevContractTerm,prevContractAav,prevContractAavPerc,regWeightedTargets,regWeightedReceptions,regWeightedReceivingYards,regWeightedReceivingTds,regWeightedTargetShare,snapWeightedOffensePctMean,ngsWeightedYardsPerTarget,marketPrev1MedianAavPerc,prevContractAavMillions
5475,David Durden,david durden,00-0038734,DurdDa00,27,3,DAL,3,901667,0.004,NA,NA,NA,NA,NA,NA,NA,0.0042,0.901667
5476,David Sills,david sills,00-0035359,SillDa01,30,7,ATL,1,1100000,0.0039,36,18,191,2,0.06936416184971098,0.15333333333333335,NA,0.0042,1.1
5477,David White Jr,david white jr,00-0039562,WhitDa06,25,2,BUF,1,840000,0.003,NA,NA,NA,NA,NA,NA,NA,0.0042,0.84
5478,Dax Milne,dax milne,00-0036671,MilnDa00,26,5,CAR,1,1030000,0.0037,NA,NA,NA,NA,NA,NA,NA,0.0042,1.03
5479,Deandre Carter,deandre carter,00-0031763,CartDe02,32,11,CLE,1,1422500,0.0051,4.666666666666667,3,24,0,0.00887198986058301,0.04666666666666666,NA,0.0042,1.4225
5480,DeAndre Hopkins,deandre hopkins,00-0030564,HopkDe00,33,13,BAL,1,5000000,0.0179,52.666666666666664,33.333333333333336,423.3333333333333,3,0.11647903955596264,0.3833333333333333,7.725,0.0042,5
5481,Deebo Samuel,deebo samuel,NA,NA,30,NA,WAS,1,17545529,0.06280000000000001,NA,NA,NA,NA,NA,0.7254444444444444,7.652824541713431,0.0042,17.545529
5482,Demetric Felton,demetric felton,NA,NA,27,NA,WAS,1,1030000,0.0037,NA,NA,NA,NA,NA,NA,NA,0.0042,1.03
5483,Deon Cain,deon cain,00-0034406,CainDe00,29,8,BUF,1,960000,0.0034,NA,NA,NA,NA,NA,NA,NA,0.0042,0.96
5484,Dez Fitzpatrick,dez fitzpatrick,00-0036627,FitzDe00,28,5,LAC,1,1030000,0.0037,NA,NA,NA,NA,NA,0.13,NA,0.0042,1.03
5485,Diontae Johnson,diontae johnson,00-0035216,JohnDi01,29,7,CLE,1,1170000,0.0042,67,33,375,3,0.1293436293436293,0.5516666666666666,5.597014925373134,0.0042,1.17
5486,DJ Chark,dj chark,00-0034777,CharDJ00,29,8,ATL,1,1300000,0.0047,10,4,31,1,0.02036659877800407,0.21714285714285717,NA,0.0042,1.3
5487,DJ Montgomery,dj montgomery,NA,NA,29,NA,IND,1,1030000,0.0037,NA,NA,NA,NA,NA,NA,NA,0.0042,1.03
5488,Donovan Peoples-Jones,donovan peoples jones,00-0036233,PeopDo00,27,6,NO,1,1170000,0.0042,NA,NA,NA,NA,NA,NA,NA,0.0042,1.17
5489,Dontavian Jackson,dontavian jackson,NA,NA,28,NA,MIN,3,898333,0.004,NA,NA,NA,NA,NA,NA,NA,0.0042,0.898333
5490,Dontay Demus Jr.,dontay demus jr,00-0038447,DemuDo00,25,3,BAL,3,899167,0.004,NA,NA,NA,NA,NA,NA,NA,0.0042,0.899167
5491,Easop Winston,easop winston,00-0036080,WinsEa00,29,5,NYJ,1,960000,0.0034,NA,NA,NA,NA,NA,NA,NA,0.0042,0.96
5492,Ed Lee,ed lee,NA,NA,27,NA,NE,3,898333,0.004,NA,NA,NA,NA,NA,NA,NA,0.0042,0.898333
5493,Elijah Moore,elijah moore,00-0036980,MoorEl00,25,5,BUF,1,2500000,0.009,45.333333333333336,26.333333333333332,254,0.3333333333333333,0.07728816387101589,0.4619825708061002,5.2745098039215685,0.0042,2.5
5494,Equanimeous St. Brown,equanimeous st brown,00-0034279,St.BEq00,29,8,SF,1,1170000,0.0042,NA,NA,NA,NA,NA,0.24,NA,0.0042,1.17
5495,Erik Ezukanma,erik ezukanma,00-0038092,EzukEr00,26,4,MIA,4,1096248,0.0053,2,0,0,0,0.00352112676056338,0.14,NA,0.0042,1.096248
5496,Gabriel Davis,gabriel davis,NA,NA,27,NA,BUF,1,1170000,0.0042,NA,NA,NA,NA,NA,0.6197777777777778,NA,0.0042,1.17
5497,Garett Maag,garett maag,00-0039043,NA,26,3,MIN,3,898333,0.004,NA,NA,NA,NA,NA,NA,NA,0.0042,0.898333
5498,Gavin Holmes,gavin holmes,00-0038962,NA,27,3,TEN,3,898333,0.004,NA,NA,NA,NA,NA,NA,NA,0.0042,0.898333
5499,Grant DuBose,grant dubose,00-0038507,DuboGr00,24,3,BUF,1,840000,0.003,4,2,11,0,0.00704225352112676,0.22666666666666668,NA,0.0042,0.84
5500,Hunter Renfrow,hunter renfrow,00-0034983,RenfHu00,30,7,CAR,1,1220000,0.0044,26,15,89,2,0.05416666666666667,0.4916666666666667,NA,0.0042,1.22
5501,Jacob Harris,jacob harris,00-0036918,HarrJa03,28,5,TB,1,1100000,0.0039,NA,NA,NA,NA,NA,NA,NA,0.0042,1.1
5502,Jadakis Bonds,jadakis bonds,00-0039022,NA,26,3,GB,3,898333,0.004,NA,NA,NA,NA,NA,NA,NA,0.0042,0.898333
5503,Jadon Haselwood,jadon haselwood,00-0038483,NA,25,3,PHI,3,902500,0.004,NA,NA,NA,NA,NA,NA,NA,0.0042,0.9025
5504,Jadon Janke,jadon janke,00-0039604,NA,26,2,GB,1,840000,0.003,NA,NA,NA,NA,NA,NA,NA,0.0042,0.84
5505,Jaelen Gill,jaelen gill,00-0039659,GillJa01,26,2,CLE,1,840000,0.003,NA,NA,NA,NA,NA,NA,NA,0.0042,0.84
5506,Jalen Cropper,jalen cropper,00-0038740,MoreJa01,24,3,DAL,2,877500,0.0034,0,0,0,0,0,0.09555555555555556,NA,0.0042,0.8775
5507,Jalen Moreno-Cropper,jalen moreno cropper,NA,NA,25,NA,DAL,3,901667,0.004,NA,NA,NA,NA,NA,0.09555555555555556,NA,0.0042,0.901667
