contractRowId,playerName,playerKey,playerId,pfrId,ageAtSigning,yearsExpAtSigning,prevSignedTeam,termScenario,aavPercPrediction,impliedCap2026,aavPrediction,aavPredictionMillions,termProbability,pairId,termModelId,aavModelId,weightedAavPercContribution,weightedAavContribution,prevContractTerm,prevContractAav,prevContractAavPerc,regWeightedTargets,regWeightedReceptions,regWeightedReceivingYards,regWeightedReceivingTds,regWeightedTargetShare,snapWeightedOffensePctMean,ngsWeightedYardsPerTarget,marketPrev1MedianAavPerc,prevContractAavMillions
5511,James Proche,james proche,00-0036133,ProcJa00,29,6,TEN,1,0.0014525074511766434,301587301.5873016,438057.80273581314,0.43805780273581313,0.9659553170204163,xgb_pair,term_xgb_final,aavPerc_xgb_final,0.0014030572954758513,423144.26371493936,1,1170000,0.0042,9,5,50.333333333333336,0,0.01667162668888756,0.2081481481481481,NA,0.0042,1.17
5594,Trenton Irwin,trenton irwin,00-0035341,IrwiTr00,30,7,JAX,1,0.004477307666093111,301587301.5873016,1350299.1373931605,1.3502991373931605,0.9610177874565125,xgb_pair,term_xgb_final,aavPerc_xgb_final,0.004302772307030883,1297661.4894220124,1,1170000,0.0042,10,3,15,0,0.01592356687898089,0.2914285714285714,NA,0.0042,1.17
5522,Josh Reynolds,josh reynolds,00-0033943,ReynJo00,31,9,NYJ,1,0.01328338123857975,301587301.5873016,4006099.103698655,4.006099103698655,0.9597665071487427,xgb_pair,term_xgb_final,aavPerc_xgb_final,0.012748944414476826,3844919.744048567,1,2750000,0.0098,22,11.666666666666666,132,0.3333333333333333,0.04423296594733105,0.7357777777777778,NA,0.0042,2.75
5541,Kristian Wilkerson,kristian wilkerson,00-0036183,WilkKr00,29,6,BUF,1,0.006247284356504679,301587301.5873016,1884101.6313268081,1.8841016313268082,0.959205150604248,xgb_pair,term_xgb_final,aavPerc_xgb_final,0.005992427332048633,1807239.9890305405,1,1100000,0.0039,3,2,18,1,0.00506756756756756,0.22,NA,0.0042,1.1
5570,River Cracraft,river cracraft,00-0034054,CracRi00,31,9,WAS,1,0.003931565210223198,301587301.5873016,1185710.1427657264,1.1857101427657264,0.958149790763855,xgb_pair,term_xgb_final,aavPerc_xgb_final,0.0037670283835498086,1136087.9251975615,1,1170000,0.0042,3,2.3333333333333335,22,0,0.00528169014084507,0.10916666666666668,NA,0.0042,1.17
5605,Zay Jones,zay jones,00-0033891,JoneZa00,30,9,ARI,1,0.00637900922447443,301587301.5873016,1923828.178809749,1.9238281788097489,0.9573437571525574,xgb_pair,term_xgb_final,aavPerc_xgb_final,0.006106904657869172,1841764.896817687,1,2400000,0.0086,15.666666666666666,10.666666666666666,150,0,0.02645978144210199,0.4459848484848485,NA,0.0042,2.4
5486,DJ Chark,dj chark,00-0034777,CharDJ00,29,8,ATL,1,0.005833751056343317,301587301.5873016,1759385.2392146513,1.7593852392146514,0.9515851140022278,xgb_pair,term_xgb_final,aavPerc_xgb_final,0.005551310664011072,1674204.8034319107,1,1300000,0.0047,10,4,31,1,0.02036659877800407,0.21714285714285717,NA,0.0042,1.3
5508,Jalen Reagor,jalen reagor,00-0036387,ReagJa00,27,6,LAC,1,0.003577068680897355,301587301.5873016,1078798.4910642817,1.0787984910642816,0.9471323490142822,xgb_pair,term_xgb_final,aavPerc_xgb_final,0.003387957462323732,1021764.9489547763,1,1337500,0.0048,12,7,100,0,0.02443991853360488,0.28250000000000003,NA,0.0042,1.3375
5447,Anthony Miller,anthony miller,00-0034353,MillAn02,31,8,BAL,1,0.004300698172301054,301587301.5873016,1297035.9567257147,1.2970359567257148,0.9461947679519653,xgb_pair,term_xgb_final,aavPerc_xgb_final,0.004069298109171837,1227248.636099443,1,1170000,0.0042,1,1,16,0,0.00218818380743982,0.07500000000000001,NA,0.0042,1.17
5479,Deandre Carter,deandre carter,00-0031763,CartDe02,32,11,CLE,1,0.0029711537063121796,301587301.5873016,896062.2288878002,0.8960622288878003,0.9457268118858337,xgb_pair,term_xgb_final,aavPerc_xgb_final,0.0028098997222933964,847430.0749773736,1,1422500,0.0051,4.666666666666667,3,24,0,0.00887198986058301,0.04666666666666666,NA,0.0042,1.4225
5571,Robbie Chosen,robbie chosen,00-0032688,AndeRo04,32,10,WAS,1,0.00555645115673542,301587301.5873016,1675755.110761476,1.6757551107614759,0.945594072341919,xgb_pair,term_xgb_final,aavPerc_xgb_final,0.005254147277066412,1584584.0994327276,1,1255000,0.0045,7.333333333333333,3.6666666666666665,37,0,0.01623630672926447,0.31611111111111106,NA,0.0042,1.255
5563,Noah Brown,noah brown,00-0033591,BrowNo00,30,9,WAS,1,0.004451909568160772,301587301.5873016,1342639.3935722965,1.3426393935722964,0.9440186023712158,xgb_pair,term_xgb_final,aavPerc_xgb_final,0.004202685448418175,1267476.563808656,1,3250000,0.0116,25.333333333333332,15,206.33333333333337,0.3333333333333333,0.05246913580246912,0.4836363636363636,8.089285714285714,0.0042,3.25
5446,Alex Bachman,alex bachman,00-0035602,BachAl00,29,7,LV,1,0.004067831672728062,301587301.5873016,1226806.3774894155,1.2268063774894156,0.9434612393379211,xgb_pair,term_xgb_final,aavPerc_xgb_final,0.003837841511370066,1157444.2653338294,1,1030000,0.0037,3,2.3333333333333335,18.333333333333332,0,0.0057377721851406,0.09871794871794871,NA,0.0042,1.03
5493,Elijah Moore,elijah moore,00-0036980,MoorEl00,25,5,BUF,1,0.008311123587191105,301587301.5873016,2506529.3358195396,2.5065293358195397,0.9432007670402527,xgb_pair,term_xgb_final,aavPerc_xgb_final,0.007839058142404987,2364160.3921538847,1,2500000,0.009,45.333333333333336,26.333333333333332,254,0.3333333333333333,0.07728816387101589,0.4619825708061002,5.2745098039215685,0.0042,2.5
5600,Tyler Lockett,tyler lockett,00-0032211,LockTy00,33,11,LV,1,4.6655075857415795e-4,301587301.5873016,140705.78433188892,0.14070578433188893,0.9421517252922058,xgb_pair,term_xgb_final,aavPerc_xgb_final,4.395616021270303e-4,132566.19746688218,1,1255000,0.0045,61.333333333333336,37.666666666666664,394,1.3333333333333333,0.11253329796288314,0.5635294117647058,6.22997542997543,0.0042,1.255
5519,Jordan Matthews,jordan matthews,00-0031299,NA,33,12,CAR,1,0.004865344148129225,301587301.5873016,1467326.0129278617,1.4673260129278616,0.9388465285301208,xgb_pair,term_xgb_final,aavPerc_xgb_final,0.004567811463575461,1377593.933459266,1,1255000,0.0045,1,0,0,0,0.00193050193050193,NA,NA,0.0042,1.255
5530,K.J. Osborn,k j osborn,00-0036345,OsboKJ00,28,6,WAS,1,0.0053986841812729836,301587301.5873016,1628174.5943521697,1.6281745943521697,0.937720775604248,xgb_pair,term_xgb_final,aavPerc_xgb_final,0.005062458317705687,1526773.1434350484,1,1195000,0.0043,18,7,57,1,0.036,0.495,NA,0.0042,1.195
5494,Equanimeous St. Brown,equanimeous st brown,00-0034279,St.BEq00,29,8,SF,1,0.003700920147821307,301587301.5873016,1116150.5207715055,1.1161505207715054,0.9376753568649292,xgb_pair,term_xgb_final,aavPerc_xgb_final,0.0034702616203369507,1046586.837879398,1,1170000,0.0042,NA,NA,NA,NA,NA,0.24,NA,0.0042,1.17
5444,Adam Thielen,adam thielen,00-0030035,ThieAd00,35,13,CAR,1,0.013986213132739067,301587301.5873016,4218064.278127655,4.218064278127655,0.9365358948707581,xgb_pair,term_xgb_final,aavPerc_xgb_final,0.01309859063212293,3950368.603338662,3,8333333,0.0371,44,28.666666666666668,329,1.6666666666666667,0.08975458975458976,0.4989166666666667,9.919354838709678,0.0042,8.333333
5599,Tyler Johnson,tyler johnson,00-0036427,JohnTy00,27,6,NYJ,1,0.004081577993929386,301587301.5873016,1230952.0934072754,1.2309520934072753,0.9365100264549255,xgb_pair,term_xgb_final,aavPerc_xgb_final,0.0038224387150726513,1152798.9775615935,1,1170000,0.0042,25.666666666666668,16.666666666666668,228.33333333333337,1,0.05068558956525371,0.3988888888888889,NA,0.0042,1.17
5593,Trent Taylor,trent taylor,00-0033292,TaylTr02,31,9,SF,1,0.004079609643667936,301587301.5873016,1230358.463963346,1.230358463963346,0.9362327456474304,xgb_pair,term_xgb_final,aavPerc_xgb_final,0.0038194641378609673,1151901.8828469587,1,1170000,0.0042,1,1,11,0,0.00194931773879142,0.095,NA,0.0042,1.17
5532,Kaden Davis,kaden davis,00-0037380,DaviKa02,27,4,CLE,1,0.0016987945418804884,301587301.5873016,512334.8618369727,0.5123348618369727,0.9361253380775452,xgb_pair,term_xgb_final,aavPerc_xgb_final,0.0015902846148421607,479609.6457460485,1,840000,0.003,0,0,0,0,0,0.09000000000000001,NA,0.0042,0.84
5587,Tay Martin,tay martin,00-0037524,MartTa00,28,4,WAS,1,0.005104564130306244,301587301.5873016,1539471.7218383912,1.539471721838391,0.9351003170013428,xgb_pair,term_xgb_final,aavPerc_xgb_final,0.004773279536403052,1439560.4951056826,1,840000,0.003,2,1.6666666666666667,31.666666666666668,0.3333333333333333,0.00440134414493388,0.13333333333333333,NA,0.0042,0.84
5500,Hunter Renfrow,hunter renfrow,00-0034983,RenfHu00,30,7,CAR,1,0.00231915176846087,301587301.5873016,699426.7238215322,0.6994267238215323,0.9342605471611023,xgb_pair,term_xgb_final,aavPerc_xgb_final,0.0021666920001518902,653446.7936966019,1,1220000,0.0044,26,15,89,2,0.05416666666666667,0.4916666666666667,NA,0.0042,1.22
5474,David Bell,david bell,00-0037257,BellDa02,25,4,CLE,1,0.004923827946186066,301587301.5873016,1484963.983770401,1.484963983770401,0.9326250553131104,xgb_pair,term_xgb_final,aavPerc_xgb_final,0.004592085310664018,1384914.617501847,4,1273726,0.00609999999999999,3,3,27,0,0.00473186119873817,0.13,NA,0.0042,1.273726
5473,Dante Pettis,dante pettis,00-0034860,PettDa00,30,8,NO,1,0.004319450352340937,301587301.5873016,1302691.3761028224,1.3026913761028223,0.9324464201927185,xgb_pair,term_xgb_final,aavPerc_xgb_final,0.004027656018240483,1214689.910263003,1,1255000,0.0045,16.666666666666668,10,124.66666666666669,0.3333333333333333,0.03103222014914728,0.2508333333333333,NA,0.0042,1.255
5468,Collin Johnson,collin johnson,00-0036254,JohnCo01,28,6,LV,1,0.003181350650265813,301587301.5873016,959454.9580166738,0.9594549580166738,0.9314264059066772,xgb_pair,term_xgb_final,aavPerc_xgb_final,0.0029631940021059566,893661.6831748124,1,1170000,0.0042,2,1,6,0,0.00380228136882129,0.05444444444444445,NA,0.0042,1.17
5554,Marquez Valdes-Scantling,marquez valdes scantling,00-0034272,ValdMa00,31,8,PIT,1,0.0028641021344810724,301587301.5873016,863776.8342085775,0.8637768342085775,0.9273833632469177,xgb_pair,term_xgb_final,aavPerc_xgb_final,0.002656120670157733,801052.2656031259,1,1255000,0.0045,34,15.666666666666666,217,2,0.06478114478114479,0.5011904761904762,NA,0.0042,1.255
5553,Marquez Callaway,marquez callaway,00-0036219,CallMa01,27,6,LV,1,0.006858706008642912,301587301.5873016,2068498.6375272276,2.068498637527228,0.926569402217865,xgb_pair,term_xgb_final,aavPerc_xgb_final,0.006355067126416342,1916607.5460620716,1,1170000,0.0042,NA,NA,NA,NA,NA,0.04,NA,0.0042,1.17
5604,Zach Pascal,zach pascal,00-0033251,PascZa00,31,9,NYG,1,0.0045364489778876305,301587301.5873016,1368135.406029603,1.368135406029603,0.9231544137001038,xgb_pair,term_xgb_final,aavPerc_xgb_final,0.0041878428964622905,1263000.2386156116,1,1422500,0.0051,0,0,0,0,0,0.06588235294117648,NA,0.0042,1.4225
5506,Jalen Cropper,jalen cropper,00-0038740,MoreJa01,24,3,DAL,1,0.0033062186557799578,301587301.5873016,997113.562854273,0.997113562854273,0.9222593307495117,xgb_pair,term_xgb_final,aavPerc_xgb_final,0.003049191004791174,919597.287159243,2,877500,0.0034,0,0,0,0,0,0.09555555555555556,NA,0.0042,0.8775
5454,Braxton Berrios,braxton berrios,00-0034419,BerrBr00,30,8,HOU,1,0.004450338892638683,301587301.5873016,1342165.6977799204,1.3421656977799203,0.9210754632949829,xgb_pair,term_xgb_final,aavPerc_xgb_final,0.0040990979573568564,1236235.8919012742,1,1800000,0.0064,6.666666666666667,4,24.666666666666668,0,0.0119917819151194,0.21777777777777776,NA,0.0042,1.8
5466,Chris Moore,chris moore,00-0032398,MoorCh00,32,10,WAS,1,0.005954255349934101,301587301.5873016,1795727.8039483798,1.7957278039483797,0.920868456363678,xgb_pair,term_xgb_final,aavPerc_xgb_final,0.005483085932888987,1653629.090871282,1,1255000,0.0045,23,11,207,1,0.05324074074074074,0.3538095238095238,NA,0.0042,1.255
5561,Montrell Washington,montrell washington,00-0037272,WashMo00,27,4,NYG,1,0.002723989775404334,301587301.5873016,821520.7259155929,0.8215207259155929,0.9207334518432617,xgb_pair,term_xgb_final,aavPerc_xgb_final,0.0025080685086937837,756401.6137330459,1,1030000,0.0037,0,0,0,0,0,0.07,NA,0.0042,1.03
5595,Trishton Jackson,trishton jackson,00-0035934,JackTr02,28,6,ARI,1,0.004487231373786926,301587301.5873016,1353292.0016182794,1.3532920016182794,0.9190611243247986,xgb_pair,term_xgb_final,aavPerc_xgb_final,0.004124039911498123,1243758.068547053,1,1100000,0.0039,NA,NA,NA,NA,NA,0.08499999999999999,NA,0.0042,1.1
5485,Diontae Johnson,diontae johnson,00-0035216,JohnDi01,29,7,CLE,1,0.0010530556319281459,301587301.5873016,317588.20645452023,0.31758820645452024,0.9157664775848389,xgb_pair,term_xgb_final,aavPerc_xgb_final,9.643530467517147e-4,290836.6331473426,1,1170000,0.0042,67,33,375,3,0.1293436293436293,0.5516666666666666,5.597014925373134,0.0042,1.17
5574,Russell Gage,russell gage,00-0034411,GageRu00,30,8,SF,1,0.003738424275070429,301587301.5873016,1127461.2893069547,1.1274612893069547,0.9155505299568176,xgb_pair,term_xgb_final,aavPerc_xgb_final,0.003422716326244163,1032247.7809307793,1,1170000,0.0042,NA,NA,NA,NA,NA,0.37,NA,0.0042,1.17
5538,Kelvin Harmon,kelvin harmon,00-0035297,HarmKe00,29,7,DAL,1,0.00309173041023314,301587301.5873016,932426.6316576137,0.9324266316576136,0.9150285124778748,xgb_pair,term_xgb_final,aavPerc_xgb_final,0.0028290214782582396,853196.9537604215,1,960000,0.0034,NA,NA,NA,NA,NA,NA,NA,0.0042,0.96
5558,Mike Williams,mike williams,00-0033536,WillMi07,31,9,LAC,1,0.008102549239993095,301587301.5873016,2443625.961267759,2.443625961267759,0.9146344065666199,xgb_pair,term_xgb_final,aavPerc_xgb_final,0.007410870315797902,2235024.380954923,1,3000000,0.0107,34,21,298,1,0.05772495755517826,0.4066666666666666,NA,0.0042,3
5567,Racey McMath,racey mcmath,00-0036652,McMaRa00,26,5,DAL,1,0.0034518097527325153,301587301.5873016,1041021.9889193301,1.04102198891933,0.9129927158355713,xgb_pair,term_xgb_final,aavPerc_xgb_final,0.003151477160694971,950445.4929080071,2,1042500,0.0041,NA,NA,NA,NA,NA,NA,NA,0.0042,1.0425
5484,Dez Fitzpatrick,dez fitzpatrick,00-0036627,FitzDe00,28,5,LAC,1,0.005938586313277483,301587301.5873016,1791002.221464638,1.791002221464638,0.9112281799316406,xgb_pair,term_xgb_final,aavPerc_xgb_final,0.005411407197614793,1632011.694518747,1,1030000,0.0037,NA,NA,NA,NA,NA,0.13,NA,0.0042,1.03
5572,Robert Woods,robert woods,00-0030431,WoodRo02,33,13,PIT,1,0.0049790977500379086,301587301.5873016,1501632.6547733375,1.5016326547733376,0.9098806977272034,xgb_pair,term_xgb_final,aavPerc_xgb_final,0.004530384934856441,1366306.567655117,1,2000000,0.0072,30,20,203,0,0.05484460694698354,0.37066666666666664,NA,0.0042,2
5476,David Sills,david sills,00-0035359,SillDa01,30,7,ATL,1,0.002534102415665984,301587301.5873016,764253.1094865667,0.7642531094865668,0.9085999131202698,xgb_pair,term_xgb_final,aavPerc_xgb_final,0.002302485234711979,694400.3088813906,1,1100000,0.0039,36,18,191,2,0.06936416184971098,0.15333333333333335,NA,0.0042,1.1
5527,Justyn Ross,justyn ross,00-0037216,RossJu00,26,4,KC,1,0.003696840489283204,301587301.5873016,1114920.1475616014,1.1149201475616013,0.9083213806152344,xgb_pair,term_xgb_final,aavPerc_xgb_final,0.0033579192571400185,1012705.8077088946,1,960000,0.0034,1,0,0,0,0.00174825174825174,0.09,NA,0.0042,0.96
5510,Jamal Agnew,jamal agnew,00-0033572,AgneJa00,30,9,ATL,1,0.0047589694149792194,301587301.5873016,1435244.7442000823,1.4352447442000822,0.9052219986915588,xgb_pair,term_xgb_final,aavPerc_xgb_final,0.0043079238055394875,1299215.1159563535,1,2500000,0.009,0,0,0,0,0,0.00181818181818181,NA,0.0042,2.5
5507,Jalen Moreno-Cropper,jalen moreno cropper,NA,NA,25,NA,DAL,1,0.004645222332328558,301587301.5873016,1400940.0684800413,1.4009400684800413,0.9045519828796387,xgb_pair,term_xgb_final,aavPerc_xgb_final,0.004201845071624577,1267223.116839158,3,901667,0.004,NA,NA,NA,NA,NA,0.09555555555555556,NA,0.0042,0.901667
